WHO_region,Disease_presentation,Age_group,Pathogen,deaths associated with resistance (mean),deaths associated with resistance (lower),deaths associated with resistance (upper),deaths attributable to resistance (mean),deaths attributable to resistance (lower),deaths attributable to resistance (upper),vaccine avertable deaths associated with resistance (mean),vaccine avertable deaths associated with resistance (lower),vaccine avertable deaths associated with resistance (upper),vaccine avertable deaths attributable to resistance (mean),vaccine avertable deaths attributable to resistance (lower),vaccine avertable deaths attributable to resistance (upper)
Africa,Bacterial skin infections,45 to 49,Acinetobacter baumannii,27.65180565,0.79803376,168.3761479,8.200898785,0.237528835,47.29163975,0,0,0,0,0,0
Africa,Bacterial skin infections,50 to 54,Acinetobacter baumannii,47.42374865,0.984026256,250.7450207,14.07052315,0.283051655,74.48231924,0,0,0,0,0,0
Africa,Bacterial skin infections,55 to 59,Acinetobacter baumannii,71.52860435,1.588283393,403.7753873,21.22484459,0.46235851,115.2500551,0,0,0,0,0,0
Africa,Bacterial skin infections,60 to 64,Acinetobacter baumannii,98.31517096,2.057832585,549.9008933,29.1839739,0.614037108,156.4214344,0,0,0,0,0,0
Africa,Bacterial skin infections,65 to 69,Acinetobacter baumannii,124.9180248,2.865538372,697.9616369,37.12351479,0.779560358,203.9319861,0,0,0,0,0,0
Africa,Bacterial skin infections,70 to 74,Acinetobacter baumannii,143.3839671,4.172150186,733.05624,42.71393326,1.225534534,229.0387908,0,0,0,0,0,0
Africa,Bacterial skin infections,75 to 79,Acinetobacter baumannii,193.8617881,5.780375053,1001.559469,57.69073902,1.681766942,299.4398918,0,0,0,0,0,0
Africa,Bacterial skin infections,80 to 84,Acinetobacter baumannii,170.1920569,5.099004776,857.3594811,50.79441829,1.490000441,262.1002393,0,0,0,0,0,0
Africa,Bacterial skin infections,85 to 89,Acinetobacter baumannii,114.5508271,3.499485669,575.2181015,34.34491652,1.030129863,176.6057774,0,0,0,0,0,0
Africa,Bacterial skin infections,90 to 94,Acinetobacter baumannii,45.17870836,1.356633135,234.1257578,13.53507359,0.401470628,69.14257445,0,0,0,0,0,0
Africa,Bacterial skin infections,95 plus,Acinetobacter baumannii,12.04681412,0.453055802,65.52880578,3.609000103,0.128846423,19.38418676,0,0,0,0,0,0
Africa,BSI,EN,Acinetobacter baumannii,4431.006521,2754.634857,6731.143552,1309.399257,774.8524497,2089.576625,0,0,0,0,0,0
Africa,BSI,LN,Acinetobacter baumannii,1715.095252,1161.951472,2404.438888,508.360574,322.9142522,758.5898784,0,0,0,0,0,0
Africa,BSI,PN,Acinetobacter baumannii,868.4017205,467.1864861,1472.423054,256.7681934,134.0453088,450.7083429,0,0,0,0,0,0
Africa,BSI,1 to 4,Acinetobacter baumannii,604.0327794,283.0853456,1092.683342,177.4080085,77.78120462,327.7183177,0,0,0,0,0,0
Africa,BSI,5 to 9,Acinetobacter baumannii,249.9286298,135.5137278,421.8641594,73.81796254,37.70555685,123.6416165,0,0,0,0,0,0
Africa,BSI,10 to 14,Acinetobacter baumannii,187.4281165,104.8214873,296.1232038,55.40297072,29.15714053,90.04275014,0,0,0,0,0,0
Africa,BSI,15 to 19,Acinetobacter baumannii,281.9158635,165.6799746,442.694215,83.52431007,46.14230683,130.1495742,0,0,0,0,0,0
Africa,BSI,20 to 24,Acinetobacter baumannii,235.0412669,139.5075148,364.9551124,69.87651406,39.1778754,111.4541087,0,0,0,0,0,0
Africa,BSI,25 to 29,Acinetobacter baumannii,219.6715876,132.0129516,340.9621164,65.6302505,37.14253157,107.2688764,0,0,0,0,0,0
Africa,BSI,30 to 34,Acinetobacter baumannii,240.1274383,139.9105182,390.7809635,72.08618024,40.83086158,117.0355317,0,0,0,0,0,0
Africa,BSI,35 to 39,Acinetobacter baumannii,285.8980918,160.4221886,465.3615167,85.92670923,45.25859025,144.0390769,0,0,0,0,0,0
Africa,BSI,40 to 44,Acinetobacter baumannii,344.1926758,190.2681499,557.108135,103.4640132,53.93219428,173.6581374,0,0,0,0,0,0
Africa,BSI,45 to 49,Acinetobacter baumannii,428.0619702,229.629549,698.7414658,128.6730652,66.07791163,215.210069,0,0,0,0,0,0
Africa,BSI,50 to 54,Acinetobacter baumannii,372.3337786,201.2110144,602.1056674,112.0140429,57.71797408,182.6328876,0,0,0,0,0,0
Africa,BSI,55 to 59,Acinetobacter baumannii,462.1353535,255.0604808,748.3256343,139.0131222,73.01812843,233.6429811,0,0,0,0,0,0
Africa,BSI,60 to 64,Acinetobacter baumannii,562.6614281,303.4436651,938.7910712,169.3546962,86.44813905,293.6212247,275.7040998,148.6873959,460.0076249,82.98380114,42.35958814,143.8744001
Africa,BSI,65 to 69,Acinetobacter baumannii,652.6321838,367.5498612,1044.372904,196.4381381,104.0749552,322.9800388,0,0,0,0,0,0
Africa,BSI,70 to 74,Acinetobacter baumannii,888.0937625,427.9430782,1612.140845,266.9415225,122.3010012,494.4236995,0,0,0,0,0,0
Africa,BSI,75 to 79,Acinetobacter baumannii,924.6490113,439.1799458,1659.961728,277.8247302,124.9635975,512.7688224,0,0,0,0,0,0
Africa,BSI,80 to 84,Acinetobacter baumannii,810.6003663,402.2208925,1396.632037,244.5820766,115.8198327,432.2458013,0,0,0,0,0,0
Africa,BSI,85 to 89,Acinetobacter baumannii,587.6966947,288.47009,1048.034561,178.2715792,83.73580908,324.5972282,0,0,0,0,0,0
Africa,BSI,90 to 94,Acinetobacter baumannii,249.1780794,112.5227567,466.446923,75.18155045,32.23507428,142.7881353,0,0,0,0,0,0
Africa,BSI,95 plus,Acinetobacter baumannii,78.73798291,34.78569175,150.7676461,23.60973822,9.769098853,44.54035355,0,0,0,0,0,0
Africa,Cardiac infections,EN,Acinetobacter baumannii,3.504043012,1.841483833,6.362741866,1.029790427,0.524253814,1.881304165,0,0,0,0,0,0
Africa,Cardiac infections,LN,Acinetobacter baumannii,2.516347827,1.087356963,5.330537583,0.740330551,0.294102477,1.687416638,0,0,0,0,0,0
Africa,Cardiac infections,PN,Acinetobacter baumannii,12.72114904,7.234749512,20.79646651,3.73293316,1.977664311,6.335296486,0,0,0,0,0,0
Africa,Cardiac infections,1 to 4,Acinetobacter baumannii,8.105477003,3.569877509,14.71230664,2.382663024,0.98175648,4.345651567,0,0,0,0,0,0
Africa,Cardiac infections,5 to 9,Acinetobacter baumannii,6.440337189,3.35151882,12.8183015,1.913070945,0.948659071,3.800699712,0,0,0,0,0,0
Africa,Cardiac infections,10 to 14,Acinetobacter baumannii,8.718297282,5.551977971,14.22846812,2.581851675,1.535187582,4.439404051,0,0,0,0,0,0
Africa,Cardiac infections,15 to 19,Acinetobacter baumannii,9.082945712,5.454299759,15.30620928,2.709917199,1.511656324,4.796178211,0,0,0,0,0,0
Africa,Cardiac infections,20 to 24,Acinetobacter baumannii,10.78372933,7.259034623,15.94085844,3.222903924,2.009046905,5.008702674,0,0,0,0,0,0
Africa,Cardiac infections,25 to 29,Acinetobacter baumannii,12.27062395,8.632837344,17.16931239,3.697168431,2.374772365,5.47089137,0,0,0,0,0,0
Africa,Cardiac infections,30 to 34,Acinetobacter baumannii,11.56697067,8.153891643,15.99134136,3.501743344,2.285332431,5.139073851,0,0,0,0,0,0
Africa,Cardiac infections,35 to 39,Acinetobacter baumannii,13.33946369,9.102689725,18.67819081,4.027869611,2.562537251,5.961666967,0,0,0,0,0,0
Africa,Cardiac infections,40 to 44,Acinetobacter baumannii,13.68871097,9.387169571,19.36878047,4.143944497,2.623140864,6.201367051,0,0,0,0,0,0
Africa,Cardiac infections,45 to 49,Acinetobacter baumannii,12.69146705,8.108461741,18.34681345,3.835513907,2.313565769,5.855546967,0,0,0,0,0,0
Africa,Cardiac infections,50 to 54,Acinetobacter baumannii,14.14438308,9.377235576,20.5237646,4.251273653,2.57783293,6.516676822,0,0,0,0,0,0
Africa,Cardiac infections,55 to 59,Acinetobacter baumannii,16.42432723,10.53555561,24.18360391,4.944678268,2.950673186,7.793856647,0,0,0,0,0,0
Africa,Cardiac infections,60 to 64,Acinetobacter baumannii,16.38576901,10.84748855,23.37751467,4.943095793,3.012177173,7.503693292,0,0,0,0,0,0
Africa,Cardiac infections,65 to 69,Acinetobacter baumannii,19.75367385,13.38683084,27.87171881,5.948074213,3.75811028,8.927746533,0,0,0,0,0,0
Africa,Cardiac infections,70 to 74,Acinetobacter baumannii,24.7808988,16.58978844,35.65522501,7.472265898,4.720302527,11.25357631,0,0,0,0,0,0
Africa,Cardiac infections,75 to 79,Acinetobacter baumannii,25.53382536,17.57106393,36.04970839,7.715407633,5.016059503,11.63574536,0,0,0,0,0,0
Africa,Cardiac infections,80 to 84,Acinetobacter baumannii,22.42447423,15.26038692,32.24153407,6.837638265,4.353332311,10.39913651,0,0,0,0,0,0
Africa,Cardiac infections,85 to 89,Acinetobacter baumannii,15.44850485,10.59427771,22.24992073,4.744699068,2.957130534,7.325930297,0,0,0,0,0,0
Africa,Cardiac infections,90 to 94,Acinetobacter baumannii,7.621680231,4.715243725,12.19155002,2.339793705,1.334726612,3.884029451,0,0,0,0,0,0
Africa,Cardiac infections,95 plus,Acinetobacter baumannii,2.113352262,1.180463968,4.009265185,0.648012947,0.336363536,1.283235605,0,0,0,0,0,0
Africa,LRI and thorax infections,EN,Acinetobacter baumannii,1961.377223,952.1981114,3889.320527,577.3505912,268.1105546,1235.120036,0,0,0,0,0,0
Africa,LRI and thorax infections,LN,Acinetobacter baumannii,374.1090272,194.3141429,706.3737931,110.3697513,54.7605339,217.7004351,0,0,0,0,0,0
Africa,LRI and thorax infections,PN,Acinetobacter baumannii,1799.310232,1006.479292,2998.16628,529.9856733,290.8812584,918.0223077,0,0,0,0,0,0
Africa,LRI and thorax infections,1 to 4,Acinetobacter baumannii,1403.216142,727.9574209,2487.39235,412.2547319,204.2017596,754.1921195,0,0,0,0,0,0
Africa,LRI and thorax infections,5 to 9,Acinetobacter baumannii,524.4752785,292.5737221,883.9699136,154.4956651,80.68558798,260.9302611,0,0,0,0,0,0
Africa,LRI and thorax infections,10 to 14,Acinetobacter baumannii,340.0474312,195.1969305,557.732819,100.1132394,55.65237487,164.8129789,0,0,0,0,0,0
Africa,LRI and thorax infections,15 to 19,Acinetobacter baumannii,397.7173413,217.9087828,674.0808522,117.1528612,62.02190626,199.5638,0,0,0,0,0,0
Africa,LRI and thorax infections,20 to 24,Acinetobacter baumannii,307.4456986,174.0754919,516.2463248,90.79066123,49.48854045,156.1063695,0,0,0,0,0,0
Africa,LRI and thorax infections,25 to 29,Acinetobacter baumannii,258.8015116,160.3248285,409.8196399,76.76257128,45.70450373,122.8836599,0,0,0,0,0,0
Africa,LRI and thorax infections,30 to 34,Acinetobacter baumannii,267.1777271,169.0254526,427.0590229,79.53895483,47.78693338,131.310766,0,0,0,0,0,0
Africa,LRI and thorax infections,35 to 39,Acinetobacter baumannii,318.1871767,195.6366887,506.7800787,94.72277567,55.48711203,157.2112067,0,0,0,0,0,0
Africa,LRI and thorax infections,40 to 44,Acinetobacter baumannii,431.5869623,265.4116959,685.5436967,128.2151402,75.06283498,207.5200484,0,0,0,0,0,0
Africa,LRI and thorax infections,45 to 49,Acinetobacter baumannii,626.6101569,370.3291362,1032.20457,185.9097146,104.5029498,312.995226,0,0,0,0,0,0
Africa,LRI and thorax infections,50 to 54,Acinetobacter baumannii,1082.150797,659.5919375,1729.498457,321.1477093,182.8103119,521.4067061,0,0,0,0,0,0
Africa,LRI and thorax infections,55 to 59,Acinetobacter baumannii,1556.994942,851.7957284,2511.506635,462.2063995,248.5830787,757.411437,0,0,0,0,0,0
Africa,LRI and thorax infections,60 to 64,Acinetobacter baumannii,2229.411362,1240.84711,3549.249845,662.4207957,362.395646,1070.445713,0,0,0,0,0,0
Africa,LRI and thorax infections,65 to 69,Acinetobacter baumannii,2748.537877,1604.797184,4171.168601,817.2240131,469.835468,1280.640186,0,0,0,0,0,0
Africa,LRI and thorax infections,70 to 74,Acinetobacter baumannii,3347.771918,1751.961194,5600.347839,994.1909426,500.4663711,1664.447308,0,0,0,0,0,0
Africa,LRI and thorax infections,75 to 79,Acinetobacter baumannii,3630.948705,2045.179998,5650.527714,1078.845416,580.5340469,1732.546336,0,0,0,0,0,0
Africa,LRI and thorax infections,80 to 84,Acinetobacter baumannii,3239.799044,1930.218873,4857.968982,964.7026302,559.7763582,1494.747901,0,0,0,0,0,0
Africa,LRI and thorax infections,85 to 89,Acinetobacter baumannii,2236.914569,1290.627179,3528.695804,667.645093,368.482837,1055.513299,0,0,0,0,0,0
Africa,LRI and thorax infections,90 to 94,Acinetobacter baumannii,1014.876571,558.954364,1677.596445,302.2781989,159.5012158,504.1909876,0,0,0,0,0,0
Africa,LRI and thorax infections,95 plus,Acinetobacter baumannii,317.9026896,162.1895315,565.5705999,94.42111689,46.13963064,166.440744,0,0,0,0,0,0
Africa,UTI,EN,Acinetobacter baumannii,4.754116939,0.946207362,15.02638862,1.398441955,0.276116169,4.5173352,0,0,0,0,0,0
Africa,UTI,LN,Acinetobacter baumannii,3.075420117,0.70965229,9.654711516,0.907064078,0.208579521,2.768859901,0,0,0,0,0,0
Africa,UTI,PN,Acinetobacter baumannii,9.135068018,2.883624415,23.01598624,2.69825025,0.849656154,6.951645139,0,0,0,0,0,0
Africa,UTI,1 to 4,Acinetobacter baumannii,8.322395436,2.110043445,23.07688888,2.439419698,0.621960942,6.642085654,0,0,0,0,0,0
Africa,UTI,5 to 9,Acinetobacter baumannii,2.478417932,0.864002958,5.893109727,0.734100518,0.244582075,1.801305298,0,0,0,0,0,0
Africa,UTI,10 to 14,Acinetobacter baumannii,1.830179655,0.703020561,4.184176313,0.543235915,0.196103123,1.303456231,0,0,0,0,0,0
Africa,UTI,15 to 19,Acinetobacter baumannii,4.127877175,1.745288755,8.589119751,1.224621786,0.510728661,2.768570307,0,0,0,0,0,0
Africa,UTI,20 to 24,Acinetobacter baumannii,4.696614405,2.717249987,8.315754211,1.401015923,0.756933778,2.55864167,0,0,0,0,0,0
Africa,UTI,25 to 29,Acinetobacter baumannii,2.740690313,1.054894768,5.921058771,0.828923222,0.308581523,1.865820001,0,0,0,0,0,0
Africa,UTI,30 to 34,Acinetobacter baumannii,4.008279366,1.839718766,8.195349545,1.217168698,0.530858092,2.54761261,0,0,0,0,0,0
Africa,UTI,35 to 39,Acinetobacter baumannii,4.795849478,2.055011891,9.678806562,1.457739335,0.604755946,3.071361917,0,0,0,0,0,0
Africa,UTI,40 to 44,Acinetobacter baumannii,13.48193276,6.20384564,25.72829795,4.068730332,1.744387466,7.74752796,0,0,0,0,0,0
Africa,UTI,45 to 49,Acinetobacter baumannii,22.30371888,10.17007786,42.41648421,6.71040602,2.889222759,12.72552163,0,0,0,0,0,0
Africa,UTI,50 to 54,Acinetobacter baumannii,43.83361512,22.54571834,77.16406679,13.19014445,6.291650135,23.09526175,0,0,0,0,0,0
Africa,UTI,55 to 59,Acinetobacter baumannii,59.91594568,21.72853883,116.7851118,18.05583135,6.223392632,36.60231003,0,0,0,0,0,0
Africa,UTI,60 to 64,Acinetobacter baumannii,86.87421826,31.93025992,165.7323852,26.17669432,9.298995113,52.43449566,0,0,0,0,0,0
Africa,UTI,65 to 69,Acinetobacter baumannii,105.4819524,41.32966515,196.8139275,31.81808908,11.96456098,62.84158707,0,0,0,0,0,0
Africa,UTI,70 to 74,Acinetobacter baumannii,36.53291232,13.96412115,71.05484111,11.01269293,3.99823644,22.01888108,0,0,0,0,0,0
Africa,UTI,75 to 79,Acinetobacter baumannii,42.51207044,16.84175939,77.73621601,12.83199004,4.939706716,23.9248926,0,0,0,0,0,0
Africa,UTI,80 to 84,Acinetobacter baumannii,42.4219851,17.87215948,76.14870999,12.85698873,5.260193694,23.08282578,0,0,0,0,0,0
Africa,UTI,85 to 89,Acinetobacter baumannii,33.47680267,13.11674545,62.88797585,10.21255369,3.880051039,19.10709371,0,0,0,0,0,0
Africa,UTI,90 to 94,Acinetobacter baumannii,14.54768989,5.587996711,28.3603805,4.398593603,1.632526925,8.773463749,0,0,0,0,0,0
Africa,UTI,95 plus,Acinetobacter baumannii,5.179761901,1.868550208,11.03125431,1.553333205,0.52156907,3.255091348,0,0,0,0,0,0
Americas,Bacterial skin infections,EN,Acinetobacter baumannii,0.173541245,0.001494219,1.301580191,0.053756541,0.000460465,0.374674978,0,0,0,0,0,0
Americas,Bacterial skin infections,LN,Acinetobacter baumannii,0.052898887,0.000256572,0.365696478,0.016613399,7.61E-05,0.118037757,0,0,0,0,0,0
Americas,Bacterial skin infections,PN,Acinetobacter baumannii,4.54697118,0.188857928,21.51943855,1.438698076,0.058707288,6.598930004,0,0,0,0,0,0
Americas,Bacterial skin infections,1 to 4,Acinetobacter baumannii,2.762594302,0.119030452,12.6229562,0.875952727,0.035860591,3.890159001,0,0,0,0,0,0
Americas,Bacterial skin infections,5 to 9,Acinetobacter baumannii,1.802475364,0.065484054,11.07459924,0.568866509,0.019614827,3.469649027,0,0,0,0,0,0
Americas,Bacterial skin infections,10 to 14,Acinetobacter baumannii,2.239313391,0.083993048,13.67899202,0.707954622,0.025862438,4.206698931,0,0,0,0,0,0
Americas,Bacterial skin infections,15 to 19,Acinetobacter baumannii,3.398434042,0.133432279,19.47988078,1.075974452,0.040731659,6.145621311,0,0,0,0,0,0
Americas,Bacterial skin infections,20 to 24,Acinetobacter baumannii,5.642731965,0.214694413,31.65149238,1.783426103,0.067907525,9.704089047,0,0,0,0,0,0
Americas,Bacterial skin infections,25 to 29,Acinetobacter baumannii,7.792752217,0.311066726,43.28860163,2.454972905,0.091697124,13.02224016,0,0,0,0,0,0
Americas,Bacterial skin infections,30 to 34,Acinetobacter baumannii,10.94454774,0.422021689,58.27742088,3.445822413,0.132845726,18.57008214,0,0,0,0,0,0
Americas,Bacterial skin infections,35 to 39,Acinetobacter baumannii,15.96634485,0.627371961,82.15731072,5.023107683,0.184009653,26.94445788,0,0,0,0,0,0
Americas,Bacterial skin infections,40 to 44,Acinetobacter baumannii,22.79915916,0.905042756,117.3963992,7.177292938,0.275836534,36.81892567,0,0,0,0,0,0
Americas,Bacterial skin infections,45 to 49,Acinetobacter baumannii,34.8586395,1.396231378,181.8357411,10.96757929,0.423153013,57.17309403,0,0,0,0,0,0
Americas,Bacterial skin infections,50 to 54,Acinetobacter baumannii,67.9369508,1.917544941,340.4237025,21.35961232,0.612083863,105.7578732,0,0,0,0,0,0
Americas,Bacterial skin infections,55 to 59,Acinetobacter baumannii,103.5567952,3.014872127,519.9020389,32.51035675,0.943082819,158.4470413,0,0,0,0,0,0
Americas,Bacterial skin infections,60 to 64,Acinetobacter baumannii,140.9322375,4.091153976,710.2654458,44.21275057,1.249067263,220.3087819,0,0,0,0,0,0
Americas,Bacterial skin infections,65 to 69,Acinetobacter baumannii,170.3069958,5.097655172,861.3977251,53.43781661,1.525386298,264.7922292,0,0,0,0,0,0
Americas,Bacterial skin infections,70 to 74,Acinetobacter baumannii,202.3016666,8.370391253,1080.0139,63.80794057,2.532496782,354.7775661,0,0,0,0,0,0
Americas,Bacterial skin infections,75 to 79,Acinetobacter baumannii,241.0520167,10.26502975,1278.617141,76.05707393,3.202584197,399.8810982,0,0,0,0,0,0
Americas,Bacterial skin infections,80 to 84,Acinetobacter baumannii,261.714238,11.67582906,1349.754585,82.61189425,3.472595559,434.9735797,0,0,0,0,0,0
Americas,Bacterial skin infections,85 to 89,Acinetobacter baumannii,246.6967646,10.90900713,1284.60845,77.79779712,3.463182492,410.2029729,0,0,0,0,0,0
Americas,Bacterial skin infections,90 to 94,Acinetobacter baumannii,174.7545599,7.564027359,899.5527231,54.99761139,2.448720329,301.1525063,0,0,0,0,0,0
Americas,Bacterial skin infections,95 plus,Acinetobacter baumannii,106.1013546,5.624524587,502.3133496,33.38030025,1.645305761,164.0815305,0,0,0,0,0,0
Americas,BSI,EN,Acinetobacter baumannii,662.9699646,426.2957719,970.6924849,210.1519608,127.8089439,324.1703071,0,0,0,0,0,0
Americas,BSI,LN,Acinetobacter baumannii,432.9262795,286.0707303,603.2635018,137.5110522,87.4217129,204.7158351,0,0,0,0,0,0
Americas,BSI,PN,Acinetobacter baumannii,358.7870346,200.8801203,576.150292,113.923439,61.5528071,187.886884,0,0,0,0,0,0
Americas,BSI,1 to 4,Acinetobacter baumannii,77.67412947,33.94796633,143.8043278,24.54296634,10.21115367,46.38614634,0,0,0,0,0,0
Americas,BSI,5 to 9,Acinetobacter baumannii,77.6061485,36.2333634,133.0103674,24.57856135,11.34872002,43.79744323,0,0,0,0,0,0
Americas,BSI,10 to 14,Acinetobacter baumannii,78.40061236,39.06910931,128.4152219,24.85237081,11.92659552,42.57651405,0,0,0,0,0,0
Americas,BSI,15 to 19,Acinetobacter baumannii,127.9522937,61.30247275,219.03856,40.56293679,18.92292723,71.86073186,0,0,0,0,0,0
Americas,BSI,20 to 24,Acinetobacter baumannii,173.4739111,81.71031168,298.7386553,54.84574872,25.09459825,99.42970469,0,0,0,0,0,0
Americas,BSI,25 to 29,Acinetobacter baumannii,206.1579906,98.51866592,351.3486795,64.96626223,30.11563314,117.921895,0,0,0,0,0,0
Americas,BSI,30 to 34,Acinetobacter baumannii,253.3869941,115.6565065,454.6996814,79.69836724,36.00838114,147.9657016,0,0,0,0,0,0
Americas,BSI,35 to 39,Acinetobacter baumannii,330.5259451,150.7515964,573.1498657,103.9479227,46.28684988,192.6088759,0,0,0,0,0,0
Americas,BSI,40 to 44,Acinetobacter baumannii,439.0290316,215.8231348,735.4637422,138.1146709,64.8185234,244.0969636,0,0,0,0,0,0
Americas,BSI,45 to 49,Acinetobacter baumannii,660.0751642,307.8687051,1125.408776,207.5185746,94.10699185,379.3535234,0,0,0,0,0,0
Americas,BSI,50 to 54,Acinetobacter baumannii,794.744606,418.7827429,1282.675758,249.733003,124.072012,426.6257538,0,0,0,0,0,0
Americas,BSI,55 to 59,Acinetobacter baumannii,1213.032605,670.4506838,1977.329252,380.6180141,196.0566556,634.6973888,0,0,0,0,0,0
Americas,BSI,60 to 64,Acinetobacter baumannii,1603.117647,878.0362761,2583.450084,502.7247152,260.3106937,841.9691677,785.5276468,430.2377753,1265.890541,246.3351104,127.5522399,412.5648922
Americas,BSI,65 to 69,Acinetobacter baumannii,1893.808554,1126.35802,2908.794149,593.9391709,333.5965953,965.6148653,0,0,0,0,0,0
Americas,BSI,70 to 74,Acinetobacter baumannii,3037.761878,1518.535211,5328.419869,951.2555945,446.9920548,1680.068182,0,0,0,0,0,0
Americas,BSI,75 to 79,Acinetobacter baumannii,2834.185485,1464.980047,4894.507437,888.5316677,429.614718,1573.332774,0,0,0,0,0,0
Americas,BSI,80 to 84,Acinetobacter baumannii,2709.668687,1450.927834,4482.430851,849.3879227,428.4097469,1459.390047,0,0,0,0,0,0
Americas,BSI,85 to 89,Acinetobacter baumannii,2337.862056,1176.724955,4005.539148,731.8958311,349.110107,1285.890765,0,0,0,0,0,0
Americas,BSI,90 to 94,Acinetobacter baumannii,1465.912243,668.4503803,2768.555327,457.897519,198.7324499,858.4949251,0,0,0,0,0,0
Americas,BSI,95 plus,Acinetobacter baumannii,759.7563027,320.5385261,1515.522348,236.8922169,95.9019783,460.2528417,0,0,0,0,0,0
Americas,Cardiac infections,EN,Acinetobacter baumannii,0.416418706,0.226175385,0.730078216,0.129854626,0.067368843,0.233245564,0,0,0,0,0,0
Americas,Cardiac infections,LN,Acinetobacter baumannii,0.475245318,0.196445571,1.154867701,0.148794794,0.058771474,0.3596761,0,0,0,0,0,0
Americas,Cardiac infections,PN,Acinetobacter baumannii,5.797837028,3.116660662,10.0264837,1.836709701,0.982282839,3.335577581,0,0,0,0,0,0
Americas,Cardiac infections,1 to 4,Acinetobacter baumannii,3.587899761,2.08319595,5.757498612,1.133027136,0.644455248,1.861759492,0,0,0,0,0,0
Americas,Cardiac infections,5 to 9,Acinetobacter baumannii,4.036770137,2.787842204,6.265382643,1.278898484,0.807578063,2.054096329,0,0,0,0,0,0
Americas,Cardiac infections,10 to 14,Acinetobacter baumannii,5.861866355,4.252398083,8.521779196,1.861577186,1.249673874,2.83173867,0,0,0,0,0,0
Americas,Cardiac infections,15 to 19,Acinetobacter baumannii,9.672043008,6.885592123,14.4979589,3.065642031,2.031095608,4.791125921,0,0,0,0,0,0
Americas,Cardiac infections,20 to 24,Acinetobacter baumannii,15.31584932,10.75775193,23.65819229,4.833686535,3.139324394,7.837895144,0,0,0,0,0,0
Americas,Cardiac infections,25 to 29,Acinetobacter baumannii,21.56105069,15.59512922,30.03762219,6.765366303,4.541493796,9.950655939,0,0,0,0,0,0
Americas,Cardiac infections,30 to 34,Acinetobacter baumannii,26.06407899,18.82154439,36.62216972,8.168306884,5.362070362,12.12992348,0,0,0,0,0,0
Americas,Cardiac infections,35 to 39,Acinetobacter baumannii,33.82626559,25.00319913,46.88462355,10.60575972,7.117769561,15.31520043,0,0,0,0,0,0
Americas,Cardiac infections,40 to 44,Acinetobacter baumannii,41.01496118,30.59371636,54.17426874,12.86891749,8.747402476,18.08431451,0,0,0,0,0,0
Americas,Cardiac infections,45 to 49,Acinetobacter baumannii,50.97467022,37.21780367,67.88807376,15.97688804,10.91496092,22.15157478,0,0,0,0,0,0
Americas,Cardiac infections,50 to 54,Acinetobacter baumannii,53.15659403,37.92657627,68.53058452,16.65794291,11.20720833,22.72276464,0,0,0,0,0,0
Americas,Cardiac infections,55 to 59,Acinetobacter baumannii,73.19164127,52.0339243,97.17633405,22.90450368,15.13992138,32.60835492,0,0,0,0,0,0
