WHO_region,Disease_presentation,Age_group,Pathogen,Susceptible_mean,Susceptible_lower,Susceptible_upper,associated with resistance (mean),associated with resistance (lower),associated with resistance (upper),attributable to resistance (mean),attributable to resistance (lower),attributable to resistance (upper),vaccine avertable-associated with resistance (mean),vaccine avertable-associated with resistance (lower),vaccine avertable-associated with resistance (upper),vaccine avertable-attributable to resistance (mean),vaccine avertable-attributable to resistance (lower),vaccine avertable-attributable to resistance (upper)
Africa,Bacterial skin infections,80 to 84,Acinetobacter baumannii,0,0,1000,2000,0,10000,1000,0,3000,0,0,0,0,0,0
Africa,Bacterial skin infections,85 to 89,Acinetobacter baumannii,0,0,0,1000,0,5000,0,0,2000,0,0,0,0,0,0
Africa,Bacterial skin infections,90 to 94,Acinetobacter baumannii,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0
Africa,Bacterial skin infections,95 plus,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,BSI,EN,Acinetobacter baumannii,35000,20000,55000,394000,245000,598000,116000,69000,186000,0,0,0,0,0,0
Africa,BSI,LN,Acinetobacter baumannii,13000,8000,19000,152000,103000,214000,45000,29000,67000,0,0,0,0,0,0
Africa,BSI,PN,Acinetobacter baumannii,7000,3000,12000,77000,41000,130000,23000,12000,40000,35371.875,18834.375,59718.75,10565.625,5512.5,18375
Africa,BSI,1 to 4,Acinetobacter baumannii,5000,2000,9000,52000,24000,94000,15000,7000,28000,25480,11760,46060,7350,3430,13720
Africa,BSI,5 to 9,Acinetobacter baumannii,2000,1000,3000,20000,11000,35000,6000,3000,10000,263.846153846154,145.115384615385,461.730769230769,79.1538461538462,39.5769230769231,131.923076923077
Africa,BSI,10 to 14,Acinetobacter baumannii,1000,1000,2000,14000,8000,23000,4000,2000,7000,0,0,0,0,0,0
Africa,BSI,15 to 19,Acinetobacter baumannii,2000,1000,3000,20000,12000,32000,6000,3000,9000,0,0,0,0,0,0
Africa,BSI,20 to 24,Acinetobacter baumannii,1000,1000,2000,16000,9000,24000,5000,3000,8000,0,0,0,0,0,0
Africa,BSI,25 to 29,Acinetobacter baumannii,1000,1000,2000,14000,8000,21000,4000,2000,7000,0,0,0,0,0,0
Africa,BSI,30 to 34,Acinetobacter baumannii,1000,1000,2000,14000,8000,22000,4000,2000,7000,0,0,0,0,0,0
Africa,BSI,35 to 39,Acinetobacter baumannii,1000,1000,2000,15000,8000,24000,4000,2000,7000,0,0,0,0,0,0
Africa,BSI,40 to 44,Acinetobacter baumannii,1000,1000,2000,16000,9000,26000,5000,3000,8000,0,0,0,0,0,0
Africa,BSI,45 to 49,Acinetobacter baumannii,1000,1000,2000,18000,10000,29000,5000,3000,9000,0,0,0,0,0,0
Africa,BSI,50 to 54,Acinetobacter baumannii,1000,1000,2000,14000,8000,23000,4000,2000,7000,0,0,0,0,0,0
Africa,BSI,55 to 59,Acinetobacter baumannii,1000,1000,2000,15000,8000,24000,5000,2000,8000,0,0,0,0,0,0
Africa,BSI,60 to 64,Acinetobacter baumannii,1000,1000,2000,16000,8000,26000,5000,2000,8000,0,0,0,0,0,0
Africa,BSI,65 to 69,Acinetobacter baumannii,1000,1000,2000,15000,9000,24000,5000,2000,8000,0,0,0,0,0,0
Africa,BSI,70 to 74,Acinetobacter baumannii,1000,1000,2000,17000,8000,31000,5000,2000,9000,8330,3920,15190,2450,980,4410
Africa,BSI,75 to 79,Acinetobacter baumannii,1000,0,2000,14000,7000,25000,4000,2000,8000,0,0,0,0,0,0
Africa,BSI,80 to 84,Acinetobacter baumannii,1000,0,1000,9000,5000,16000,3000,1000,5000,0,0,0,0,0,0
Africa,BSI,85 to 89,Acinetobacter baumannii,0,0,1000,5000,3000,9000,2000,1000,3000,0,0,0,0,0,0
Africa,BSI,90 to 94,Acinetobacter baumannii,0,0,0,2000,1000,3000,1000,0,1000,0,0,0,0,0,0
Africa,BSI,95 plus,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,EN,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,LN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,PN,Acinetobacter baumannii,0,0,0,1000,1000,2000,0,0,1000,459.375,459.375,918.75,0,0,459.375
Africa,Cardiac infections,1 to 4,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,5 to 9,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,13.1923076923077,0,13.1923076923077,0,0,0
Africa,Cardiac infections,10 to 14,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,15 to 19,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,20 to 24,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,25 to 29,Acinetobacter baumannii,0,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,30 to 34,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,35 to 39,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,40 to 44,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,45 to 49,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,50 to 54,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,55 to 59,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,60 to 64,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,65 to 69,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,70 to 74,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,Cardiac infections,75 to 79,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,80 to 84,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,85 to 89,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,90 to 94,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,95 plus,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,LRI and thorax infections,EN,Acinetobacter baumannii,16000,8000,33000,175000,85000,346000,51000,24000,110000,0,0,0,0,0,0
Africa,LRI and thorax infections,LN,Acinetobacter baumannii,3000,1000,6000,33000,17000,63000,10000,5000,19000,0,0,0,0,0,0
Africa,LRI and thorax infections,PN,Acinetobacter baumannii,15000,8000,25000,159000,89000,265000,47000,26000,81000,73040.625,40884.375,121734.375,21590.625,11943.75,37209.375
Africa,LRI and thorax infections,1 to 4,Acinetobacter baumannii,11000,6000,20000,121000,63000,214000,35000,18000,65000,59290,30870,104860,17150,8820,31850
Africa,LRI and thorax infections,5 to 9,Acinetobacter baumannii,4000,2000,6000,43000,24000,72000,13000,7000,21000,567.269230769231,316.615384615385,949.846153846154,171.5,92.3461538461538,277.038461538462
Africa,LRI and thorax infections,10 to 14,Acinetobacter baumannii,2000,1000,4000,26000,15000,43000,8000,4000,13000,0,0,0,0,0,0
Africa,LRI and thorax infections,15 to 19,Acinetobacter baumannii,2000,1000,4000,29000,16000,48000,8000,4000,14000,0,0,0,0,0,0
Africa,LRI and thorax infections,20 to 24,Acinetobacter baumannii,2000,1000,3000,21000,12000,34000,6000,3000,10000,0,0,0,0,0,0
Africa,LRI and thorax infections,25 to 29,Acinetobacter baumannii,1000,1000,2000,16000,10000,25000,5000,3000,8000,0,0,0,0,0,0
Africa,LRI and thorax infections,30 to 34,Acinetobacter baumannii,1000,1000,2000,15000,10000,24000,5000,3000,7000,0,0,0,0,0,0
Africa,LRI and thorax infections,35 to 39,Acinetobacter baumannii,1000,1000,2000,16000,10000,26000,5000,3000,8000,0,0,0,0,0,0
Africa,LRI and thorax infections,40 to 44,Acinetobacter baumannii,2000,1000,3000,20000,12000,32000,6000,4000,10000,0,0,0,0,0,0
Africa,LRI and thorax infections,45 to 49,Acinetobacter baumannii,2000,1000,3000,26000,16000,43000,8000,4000,13000,0,0,0,0,0,0
Africa,LRI and thorax infections,50 to 54,Acinetobacter baumannii,3000,2000,5000,40000,25000,64000,12000,7000,19000,0,0,0,0,0,0
Africa,LRI and thorax infections,55 to 59,Acinetobacter baumannii,4000,2000,7000,51000,28000,82000,15000,8000,25000,0,0,0,0,0,0
Africa,LRI and thorax infections,60 to 64,Acinetobacter baumannii,5000,3000,8000,62000,35000,99000,18000,10000,30000,0,0,0,0,0,0
Africa,LRI and thorax infections,65 to 69,Acinetobacter baumannii,5000,3000,8000,64000,38000,98000,19000,11000,30000,0,0,0,0,0,0
Africa,LRI and thorax infections,70 to 74,Acinetobacter baumannii,5000,3000,9000,64000,34000,107000,19000,10000,32000,31360,16660,52430,9310,4900,15680
Africa,LRI and thorax infections,75 to 79,Acinetobacter baumannii,4000,2000,7000,55000,31000,86000,16000,9000,26000,0,0,0,0,0,0
Africa,LRI and thorax infections,80 to 84,Acinetobacter baumannii,3000,2000,4000,38000,23000,57000,11000,7000,17000,0,0,0,0,0,0
Africa,LRI and thorax infections,85 to 89,Acinetobacter baumannii,1000,1000,2000,20000,11000,31000,6000,3000,9000,0,0,0,0,0,0
Africa,LRI and thorax infections,90 to 94,Acinetobacter baumannii,1000,0,1000,7000,4000,12000,2000,1000,3000,0,0,0,0,0,0
Africa,LRI and thorax infections,95 plus,Acinetobacter baumannii,0,0,0,2000,1000,3000,0,0,1000,0,0,0,0,0,0
Africa,UTI,EN,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,UTI,LN,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,UTI,PN,Acinetobacter baumannii,0,0,0,1000,0,2000,0,0,1000,459.375,0,918.75,0,0,459.375
Africa,UTI,1 to 4,Acinetobacter baumannii,0,0,0,1000,0,2000,0,0,1000,490,0,980,0,0,490
Africa,UTI,5 to 9,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,UTI,10 to 14,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,UTI,15 to 19,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,UTI,20 to 24,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,UTI,25 to 29,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,UTI,30 to 34,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,UTI,35 to 39,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,UTI,40 to 44,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,UTI,45 to 49,Acinetobacter baumannii,0,0,0,1000,0,2000,0,0,1000,0,0,0,0,0,0
Africa,UTI,50 to 54,Acinetobacter baumannii,0,0,0,2000,1000,3000,0,0,1000,0,0,0,0,0,0
Africa,UTI,55 to 59,Acinetobacter baumannii,0,0,0,2000,1000,4000,1000,0,1000,0,0,0,0,0,0
Africa,UTI,60 to 64,Acinetobacter baumannii,0,0,0,2000,1000,5000,1000,0,1000,0,0,0,0,0,0
Africa,UTI,65 to 69,Acinetobacter baumannii,0,0,0,2000,1000,5000,1000,0,1000,0,0,0,0,0,0
Africa,UTI,70 to 74,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,UTI,75 to 79,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Africa,UTI,80 to 84,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,UTI,85 to 89,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Africa,UTI,90 to 94,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,UTI,95 plus,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Bacterial skin infections,EN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Bacterial skin infections,LN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Bacterial skin infections,PN,Acinetobacter baumannii,0,0,0,0,0,2000,0,0,1000,0,0,918.75,0,0,459.375
Americas,Bacterial skin infections,1 to 4,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Americas,Bacterial skin infections,5 to 9,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,13.1923076923077,0,0,0
Americas,Bacterial skin infections,10 to 14,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Americas,Bacterial skin infections,15 to 19,Acinetobacter baumannii,0,0,0,0,0,2000,0,0,1000,0,0,0,0,0,0
Americas,Bacterial skin infections,20 to 24,Acinetobacter baumannii,0,0,0,0,0,2000,0,0,1000,0,0,0,0,0,0
Americas,Bacterial skin infections,25 to 29,Acinetobacter baumannii,0,0,0,1000,0,3000,0,0,1000,0,0,0,0,0,0
Americas,Bacterial skin infections,30 to 34,Acinetobacter baumannii,0,0,0,1000,0,3000,0,0,1000,0,0,0,0,0,0
Americas,Bacterial skin infections,35 to 39,Acinetobacter baumannii,0,0,0,1000,0,4000,0,0,1000,0,0,0,0,0,0
Americas,Bacterial skin infections,40 to 44,Acinetobacter baumannii,0,0,0,1000,0,6000,0,0,2000,0,0,0,0,0,0
Americas,Bacterial skin infections,45 to 49,Acinetobacter baumannii,0,0,1000,1000,0,8000,0,0,2000,0,0,0,0,0,0
Americas,Bacterial skin infections,50 to 54,Acinetobacter baumannii,0,0,1000,3000,0,13000,1000,0,4000,0,0,0,0,0,0
Americas,Bacterial skin infections,55 to 59,Acinetobacter baumannii,0,0,1000,3000,0,17000,1000,0,5000,0,0,0,0,0,0
Americas,Bacterial skin infections,60 to 64,Acinetobacter baumannii,0,0,1000,4000,0,20000,1000,0,6000,0,0,0,0,0,0
Americas,Bacterial skin infections,65 to 69,Acinetobacter baumannii,0,0,2000,4000,0,20000,1000,0,6000,0,0,0,0,0,0
Americas,Bacterial skin infections,70 to 74,Acinetobacter baumannii,0,0,1000,4000,0,21000,1000,0,7000,1960,0,10290,490,0,3430
Americas,Bacterial skin infections,75 to 79,Acinetobacter baumannii,0,0,1000,4000,0,19000,1000,0,6000,0,0,0,0,0,0
Americas,Bacterial skin infections,80 to 84,Acinetobacter baumannii,0,0,1000,3000,0,16000,1000,0,5000,0,0,0,0,0,0
Americas,Bacterial skin infections,85 to 89,Acinetobacter baumannii,0,0,1000,2000,0,11000,1000,0,4000,0,0,0,0,0,0
Americas,Bacterial skin infections,90 to 94,Acinetobacter baumannii,0,0,1000,1000,0,6000,0,0,2000,0,0,0,0,0,0
Americas,Bacterial skin infections,95 plus,Acinetobacter baumannii,0,0,0,1000,0,3000,0,0,1000,0,0,0,0,0,0
Americas,BSI,EN,Acinetobacter baumannii,2000,1000,4000,59000,38000,86000,19000,11000,29000,0,0,0,0,0,0
Americas,BSI,LN,Acinetobacter baumannii,2000,1000,2000,39000,25000,54000,12000,8000,18000,0,0,0,0,0,0
Americas,BSI,PN,Acinetobacter baumannii,1000,1000,2000,32000,18000,51000,10000,5000,17000,14700,8268.75,23428.125,4593.75,2296.875,7809.375
Americas,BSI,1 to 4,Acinetobacter baumannii,0,0,1000,7000,3000,12000,2000,1000,4000,3430,1470,5880,980,490,1960
Americas,BSI,5 to 9,Acinetobacter baumannii,0,0,1000,6000,3000,11000,2000,1000,4000,79.1538461538462,39.5769230769231,145.115384615385,26.3846153846154,13.1923076923077,52.7692307692308
Americas,BSI,10 to 14,Acinetobacter baumannii,0,0,0,6000,3000,10000,2000,1000,3000,0,0,0,0,0,0
Americas,BSI,15 to 19,Acinetobacter baumannii,0,0,1000,9000,5000,16000,3000,1000,5000,0,0,0,0,0,0
Americas,BSI,20 to 24,Acinetobacter baumannii,1000,0,1000,12000,6000,20000,4000,2000,7000,0,0,0,0,0,0
Americas,BSI,25 to 29,Acinetobacter baumannii,1000,0,2000,13000,6000,22000,4000,2000,7000,0,0,0,0,0,0
Americas,BSI,30 to 34,Acinetobacter baumannii,1000,0,2000,14000,7000,26000,5000,2000,8000,0,0,0,0,0,0
Americas,BSI,35 to 39,Acinetobacter baumannii,1000,1000,2000,17000,8000,30000,5000,2000,10000,0,0,0,0,0,0
Americas,BSI,40 to 44,Acinetobacter baumannii,2000,1000,3000,21000,10000,34000,6000,3000,11000,0,0,0,0,0,0
Americas,BSI,45 to 49,Acinetobacter baumannii,2000,1000,4000,28000,13000,47000,9000,4000,16000,0,0,0,0,0,0
Americas,BSI,50 to 54,Acinetobacter baumannii,2000,1000,4000,30000,16000,49000,10000,5000,16000,0,0,0,0,0,0
Americas,BSI,55 to 59,Acinetobacter baumannii,3000,2000,6000,39000,22000,64000,12000,6000,21000,0,0,0,0,0,0
Americas,BSI,60 to 64,Acinetobacter baumannii,4000,2000,7000,45000,24000,72000,14000,7000,23000,0,0,0,0,0,0
Americas,BSI,65 to 69,Acinetobacter baumannii,4000,2000,6000,44000,26000,68000,14000,8000,23000,0,0,0,0,0,0
Americas,BSI,70 to 74,Acinetobacter baumannii,5000,3000,10000,58000,29000,102000,18000,9000,32000,28420,14210,49980,8820,4410,15680
Americas,BSI,75 to 79,Acinetobacter baumannii,4000,2000,7000,43000,22000,74000,13000,6000,24000,0,0,0,0,0,0
Americas,BSI,80 to 84,Acinetobacter baumannii,3000,2000,5000,31000,17000,52000,10000,5000,17000,0,0,0,0,0,0
Americas,BSI,85 to 89,Acinetobacter baumannii,2000,1000,3000,21000,10000,35000,6000,3000,11000,0,0,0,0,0,0
Americas,BSI,90 to 94,Acinetobacter baumannii,1000,0,2000,10000,5000,19000,3000,1000,6000,0,0,0,0,0,0
Americas,BSI,95 plus,Acinetobacter baumannii,0,0,1000,4000,2000,8000,1000,0,2000,0,0,0,0,0,0
Americas,Cardiac infections,EN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Cardiac infections,LN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Cardiac infections,PN,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,459.375,0,459.375,0,0,0
Americas,Cardiac infections,1 to 4,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Cardiac infections,5 to 9,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,13.1923076923077,0,0,0
Americas,Cardiac infections,10 to 14,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Americas,Cardiac infections,15 to 19,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Americas,Cardiac infections,20 to 24,Acinetobacter baumannii,0,0,0,1000,1000,2000,0,0,1000,0,0,0,0,0,0
Americas,Cardiac infections,25 to 29,Acinetobacter baumannii,0,0,0,1000,1000,2000,0,0,1000,0,0,0,0,0,0
Americas,Cardiac infections,30 to 34,Acinetobacter baumannii,0,0,0,1000,1000,2000,0,0,1000,0,0,0,0,0,0
Americas,Cardiac infections,35 to 39,Acinetobacter baumannii,0,0,0,2000,1000,2000,1000,0,1000,0,0,0,0,0,0
Americas,Cardiac infections,40 to 44,Acinetobacter baumannii,0,0,0,2000,1000,3000,1000,0,1000,0,0,0,0,0,0
Americas,Cardiac infections,45 to 49,Acinetobacter baumannii,0,0,0,2000,2000,3000,1000,0,1000,0,0,0,0,0,0
Americas,Cardiac infections,50 to 54,Acinetobacter baumannii,0,0,0,2000,1000,3000,1000,0,1000,0,0,0,0,0,0
Americas,Cardiac infections,55 to 59,Acinetobacter baumannii,0,0,0,2000,2000,3000,1000,0,1000,0,0,0,0,0,0
Americas,Cardiac infections,60 to 64,Acinetobacter baumannii,0,0,0,3000,2000,3000,1000,1000,1000,0,0,0,0,0,0
Americas,Cardiac infections,65 to 69,Acinetobacter baumannii,0,0,0,3000,2000,3000,1000,1000,1000,0,0,0,0,0,0
Americas,Cardiac infections,70 to 74,Acinetobacter baumannii,0,0,1000,4000,2000,5000,1000,1000,2000,1960,980,2450,490,490,980
Americas,Cardiac infections,75 to 79,Acinetobacter baumannii,0,0,1000,3000,2000,4000,1000,1000,1000,0,0,0,0,0,0
Americas,Cardiac infections,80 to 84,Acinetobacter baumannii,0,0,0,3000,2000,3000,1000,1000,1000,0,0,0,0,0,0
Americas,Cardiac infections,85 to 89,Acinetobacter baumannii,0,0,0,2000,1000,3000,1000,0,1000,0,0,0,0,0,0
Americas,Cardiac infections,90 to 94,Acinetobacter baumannii,0,0,0,1000,1000,2000,0,0,1000,0,0,0,0,0,0
Americas,Cardiac infections,95 plus,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0
Americas,LRI and thorax infections,EN,Acinetobacter baumannii,0,0,1000,6000,3000,12000,2000,1000,4000,0,0,0,0,0,0
Americas,LRI and thorax infections,LN,Acinetobacter baumannii,0,0,0,2000,1000,4000,1000,0,1000,0,0,0,0,0,0
Americas,LRI and thorax infections,PN,Acinetobacter baumannii,0,0,1000,13000,6000,24000,4000,2000,8000,5971.875,2756.25,11025,1837.5,918.75,3675
Americas,LRI and thorax infections,1 to 4,Acinetobacter baumannii,0,0,0,5000,3000,10000,2000,1000,3000,2450,1470,4900,980,490,1470
Americas,LRI and thorax infections,5 to 9,Acinetobacter baumannii,0,0,0,5000,2000,9000,2000,1000,3000,65.9615384615385,26.3846153846154,118.730769230769,26.3846153846154,13.1923076923077,39.5769230769231
Americas,LRI and thorax infections,10 to 14,Acinetobacter baumannii,0,0,0,4000,2000,7000,1000,1000,2000,0,0,0,0,0,0
Americas,LRI and thorax infections,15 to 19,Acinetobacter baumannii,0,0,0,5000,3000,9000,2000,1000,3000,0,0,0,0,0,0
Americas,LRI and thorax infections,20 to 24,Acinetobacter baumannii,0,0,0,6000,3000,11000,2000,1000,4000,0,0,0,0,0,0
Americas,LRI and thorax infections,25 to 29,Acinetobacter baumannii,0,0,0,6000,3000,11000,2000,1000,4000,0,0,0,0,0,0
Americas,LRI and thorax infections,30 to 34,Acinetobacter baumannii,0,0,1000,7000,3000,13000,2000,1000,4000,0,0,0,0,0,0
Americas,LRI and thorax infections,35 to 39,Acinetobacter baumannii,0,0,1000,9000,4000,15000,3000,1000,5000,0,0,0,0,0,0
Americas,LRI and thorax infections,40 to 44,Acinetobacter baumannii,1000,0,1000,11000,6000,18000,3000,2000,6000,0,0,0,0,0,0
Americas,LRI and thorax infections,45 to 49,Acinetobacter baumannii,1000,0,1000,15000,7000,25000,5000,2000,8000,0,0,0,0,0,0
Americas,LRI and thorax infections,50 to 54,Acinetobacter baumannii,1000,1000,2000,25000,13000,40000,8000,4000,13000,0,0,0,0,0,0
Americas,LRI and thorax infections,55 to 59,Acinetobacter baumannii,2000,1000,3000,33000,16000,56000,10000,5000,18000,0,0,0,0,0,0
Americas,LRI and thorax infections,60 to 64,Acinetobacter baumannii,2000,1000,4000,39000,20000,66000,12000,6000,21000,0,0,0,0,0,0
Americas,LRI and thorax infections,65 to 69,Acinetobacter baumannii,2000,1000,4000,41000,22000,66000,13000,7000,21000,0,0,0,0,0,0
Americas,LRI and thorax infections,70 to 74,Acinetobacter baumannii,2000,1000,4000,39000,19000,68000,12000,6000,22000,19110,9310,33320,5880,2940,10780
Americas,LRI and thorax infections,75 to 79,Acinetobacter baumannii,2000,1000,3000,33000,17000,55000,10000,5000,18000,0,0,0,0,0,0
Americas,LRI and thorax infections,80 to 84,Acinetobacter baumannii,1000,1000,2000,27000,15000,42000,8000,4000,13000,0,0,0,0,0,0
Americas,LRI and thorax infections,85 to 89,Acinetobacter baumannii,1000,1000,2000,18000,10000,29000,6000,3000,9000,0,0,0,0,0,0
