WHO_region,Disease_presentation,Age_group,Pathogen,Associated_resistant_mean,Associated_resistant_lower,Associated_resistant_upper,Attributable_resistance_mean,Attributable_resistance_lower,Attributable_resistance_upper,hib_vaccine_coverage_2019,hib_vaccine_coverage_2018,pcv_vaccine_coverage_2019,pcv_vaccine_coverage_2018
Africa,BSI,1 to 4,Klebsiella pneumoniae,280000,140000,483000,77000,35000,139000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,1 to 4,Non-typhoidal Salmonella,2000,1000,5000,1000,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,1 to 4,Pseudomonas aeruginosa,49000,25000,85000,12000,6000,22000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,1 to 4,Salmonella Typhi,169000,79000,308000,27000,4000,63000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,1 to 4,Staphylococcus aureus,43000,22000,73000,10000,4000,18000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,1 to 4,Streptococcus pneumoniae,272868.940440991,136434.470220496,473203.09924577,53537.5769219666,25905.2791557903,100167.079402389,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,5 to 9,Acinetobacter baumannii,20000,11000,35000,6000,3000,10000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,5 to 9,Enterococcus faecium,9000,5000,14000,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,5 to 9,Escherichia coli,20000,10000,32000,5000,3000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,5 to 9,Group A Streptococcus,3000,2000,5000,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,5 to 9,Klebsiella pneumoniae,40000,21000,66000,11000,5000,19000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,5 to 9,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,5 to 9,Pseudomonas aeruginosa,16000,9000,27000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,5 to 9,Salmonella Typhi,43000,22000,72000,7000,1000,15000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,5 to 9,Staphylococcus aureus,14000,8000,24000,3000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,5 to 9,Streptococcus pneumoniae,23000,12000,38000,5000,2000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,10 to 14,Acinetobacter baumannii,14000,8000,23000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,10 to 14,Enterococcus faecium,6000,3000,10000,2000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,10 to 14,Escherichia coli,14000,8000,22000,4000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,10 to 14,Group A Streptococcus,2000,1000,4000,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,10 to 14,Klebsiella pneumoniae,29000,16000,46000,8000,4000,13000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,10 to 14,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,10 to 14,Pseudomonas aeruginosa,11000,6000,18000,3000,1000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,10 to 14,Salmonella Typhi,30000,16000,48000,5000,1000,10000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,10 to 14,Staphylococcus aureus,10000,6000,16000,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,10 to 14,Streptococcus pneumoniae,17000,9000,26000,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,15 to 19,Acinetobacter baumannii,20000,12000,32000,6000,3000,9000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,15 to 19,Enterococcus faecium,9000,5000,14000,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,15 to 19,Escherichia coli,20000,12000,31000,5000,3000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,15 to 19,Group A Streptococcus,3000,2000,5000,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,15 to 19,Klebsiella pneumoniae,41000,24000,63000,11000,6000,18000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,15 to 19,Non-typhoidal Salmonella,1000,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,15 to 19,Pseudomonas aeruginosa,16000,9000,25000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,15 to 19,Salmonella Typhi,44000,26000,68000,7000,2000,15000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,15 to 19,Staphylococcus aureus,15000,9000,23000,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,15 to 19,Streptococcus pneumoniae,24000,14000,37000,5000,3000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,20 to 24,Acinetobacter baumannii,16000,9000,24000,5000,3000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,20 to 24,Enterococcus faecium,7000,4000,11000,2000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,20 to 24,Escherichia coli,16000,10000,24000,4000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,20 to 24,Group A Streptococcus,3000,2000,4000,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,20 to 24,Klebsiella pneumoniae,32000,20000,49000,9000,5000,14000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,20 to 24,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,20 to 24,Pseudomonas aeruginosa,12000,7000,19000,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,20 to 24,Salmonella Typhi,34000,21000,52000,6000,1000,11000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,20 to 24,Staphylococcus aureus,12000,7000,18000,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,20 to 24,Streptococcus pneumoniae,19000,11000,28000,4000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,25 to 29,Acinetobacter baumannii,14000,8000,21000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,25 to 29,Enterococcus faecium,6000,3000,9000,1000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,25 to 29,Escherichia coli,13000,8000,21000,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,25 to 29,Group A Streptococcus,2000,1000,3000,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,25 to 29,Klebsiella pneumoniae,27000,17000,41000,7000,4000,12000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,25 to 29,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,25 to 29,Pseudomonas aeruginosa,10000,6000,16000,3000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,25 to 29,Salmonella Typhi,28000,18000,42000,5000,1000,9000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,25 to 29,Staphylococcus aureus,10000,6000,16000,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,25 to 29,Streptococcus pneumoniae,15000,10000,24000,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,30 to 34,Acinetobacter baumannii,14000,8000,22000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,30 to 34,Enterococcus faecium,6000,3000,9000,1000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,30 to 34,Escherichia coli,13000,8000,21000,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,30 to 34,Group A Streptococcus,2000,1000,3000,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,30 to 34,Klebsiella pneumoniae,26000,16000,40000,7000,4000,12000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,30 to 34,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,30 to 34,Pseudomonas aeruginosa,10000,6000,16000,3000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,30 to 34,Salmonella Typhi,26000,16000,40000,4000,1000,9000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,30 to 34,Staphylococcus aureus,10000,6000,16000,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,30 to 34,Streptococcus pneumoniae,15000,9000,24000,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,35 to 39,Acinetobacter baumannii,15000,8000,24000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,35 to 39,Enterococcus faecium,6000,4000,10000,2000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,35 to 39,Escherichia coli,14000,8000,23000,3000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,35 to 39,Group A Streptococcus,2000,1000,3000,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,35 to 39,Klebsiella pneumoniae,28000,16000,45000,8000,4000,13000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,35 to 39,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,35 to 39,Pseudomonas aeruginosa,11000,6000,17000,3000,1000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,35 to 39,Salmonella Typhi,28000,16000,44000,5000,1000,10000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,35 to 39,Staphylococcus aureus,11000,6000,18000,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,35 to 39,Streptococcus pneumoniae,16000,9000,26000,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,40 to 44,Acinetobacter baumannii,16000,9000,26000,5000,3000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,40 to 44,Enterococcus faecium,7000,4000,11000,2000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,40 to 44,Escherichia coli,15000,9000,24000,4000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,40 to 44,Group A Streptococcus,2000,1000,4000,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,40 to 44,Klebsiella pneumoniae,30000,17000,48000,8000,4000,14000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,40 to 44,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,40 to 44,Pseudomonas aeruginosa,12000,7000,19000,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,40 to 44,Salmonella Typhi,31000,18000,48000,5000,1000,11000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,40 to 44,Staphylococcus aureus,12000,7000,19000,3000,1000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,40 to 44,Streptococcus pneumoniae,18000,10000,29000,4000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,45 to 49,Acinetobacter baumannii,18000,10000,29000,5000,3000,9000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,45 to 49,Enterococcus faecium,8000,4000,13000,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,45 to 49,Escherichia coli,17000,9000,28000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,45 to 49,Group A Streptococcus,2000,1000,4000,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,45 to 49,Klebsiella pneumoniae,34000,18000,55000,9000,5000,16000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,45 to 49,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,45 to 49,Pseudomonas aeruginosa,14000,7000,22000,3000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,45 to 49,Salmonella Typhi,34000,18000,55000,6000,1000,12000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,45 to 49,Staphylococcus aureus,14000,7000,22000,3000,1000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,45 to 49,Streptococcus pneumoniae,20000,11000,32000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,50 to 54,Acinetobacter baumannii,14000,8000,23000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,50 to 54,Enterococcus faecium,11000,6000,17000,3000,1000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,50 to 54,Escherichia coli,28000,15000,45000,7000,4000,11000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,50 to 54,Group A Streptococcus,1000,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,50 to 54,Klebsiella pneumoniae,47000,26000,75000,13000,6000,22000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,50 to 54,Non-typhoidal Salmonella,0,0,0,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,50 to 54,Pseudomonas aeruginosa,16000,9000,25000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,50 to 54,Salmonella Typhi,9000,5000,15000,1000,0,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,50 to 54,Staphylococcus aureus,17000,9000,26000,4000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,50 to 54,Streptococcus pneumoniae,18000,10000,28000,4000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,55 to 59,Acinetobacter baumannii,15000,8000,24000,5000,2000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,55 to 59,Enterococcus faecium,11000,6000,18000,3000,1000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,55 to 59,Escherichia coli,29000,16000,46000,7000,4000,12000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,55 to 59,Group A Streptococcus,1000,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,55 to 59,Klebsiella pneumoniae,50000,28000,80000,14000,7000,23000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,55 to 59,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,55 to 59,Pseudomonas aeruginosa,17000,9000,27000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,55 to 59,Salmonella Typhi,9000,5000,16000,2000,0,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,55 to 59,Staphylococcus aureus,17000,10000,27000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,55 to 59,Streptococcus pneumoniae,19000,11000,30000,4000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,60 to 64,Acinetobacter baumannii,16000,8000,26000,5000,2000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,60 to 64,Enterococcus faecium,12000,7000,20000,3000,1000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,60 to 64,Escherichia coli,30000,17000,49000,7000,4000,13000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,60 to 64,Group A Streptococcus,1000,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,60 to 64,Klebsiella pneumoniae,52000,29000,85000,14000,7000,25000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,60 to 64,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,60 to 64,Pseudomonas aeruginosa,17000,9000,29000,4000,2000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,60 to 64,Salmonella Typhi,10000,5000,17000,2000,0,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,60 to 64,Staphylococcus aureus,18000,10000,29000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,60 to 64,Streptococcus pneumoniae,20000,11000,33000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,65 to 69,Acinetobacter baumannii,15000,9000,24000,5000,2000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,65 to 69,Enterococcus faecium,12000,7000,18000,3000,1000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,65 to 69,Escherichia coli,30000,17000,46000,7000,4000,12000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,65 to 69,Group A Streptococcus,1000,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,65 to 69,Klebsiella pneumoniae,51000,29000,79000,14000,7000,23000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,65 to 69,Non-typhoidal Salmonella,0,0,1000,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,65 to 69,Pseudomonas aeruginosa,17000,10000,27000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,65 to 69,Salmonella Typhi,10000,5000,16000,2000,0,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,65 to 69,Staphylococcus aureus,17000,10000,27000,4000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,65 to 69,Streptococcus pneumoniae,19000,11000,30000,4000,2000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,70 to 74,Acinetobacter baumannii,17000,8000,31000,5000,2000,9000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,70 to 74,Enterococcus faecium,7000,3000,12000,2000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,70 to 74,Escherichia coli,37000,18000,65000,9000,4000,17000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,70 to 74,Group A Streptococcus,0,0,0,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,70 to 74,Klebsiella pneumoniae,48000,23000,83000,13000,6000,24000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,70 to 74,Non-typhoidal Salmonella,0,0,0,0,0,0,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,70 to 74,Pseudomonas aeruginosa,14000,7000,25000,3000,2000,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,70 to 74,Salmonella Typhi,5000,2000,9000,1000,0,2000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,70 to 74,Staphylococcus aureus,15000,7000,26000,3000,1000,6000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,70 to 74,Streptococcus pneumoniae,12000,6000,21000,2000,1000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,75 to 79,Acinetobacter baumannii,14000,7000,25000,4000,2000,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,75 to 79,Enterococcus faecium,6000,3000,10000,1000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,75 to 79,Escherichia coli,30000,15000,52000,7000,4000,13000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
