WHO_region,Disease_presentation,Pathogen,vaccine_averted_burden
Americas,BSI,Acinetobacter baumannii,"46,828 (31,072 - 70,030)"
Americas,BSI,Enterococcus faecium,"25,508 (17,899 - 37,476)"
Americas,BSI,Escherichia coli,"42,265 (28,020 - 66,008)"
Americas,BSI,Group A Streptococcus,"5,123 (3,155 - 7,793)"
Americas,BSI,Klebsiella pneumoniae,"160,926 (129,669 - 212,261)"
Americas,BSI,Non-typhoidal Salmonella,"513 (270 - 1,144)"
Americas,BSI,Pseudomonas aeruginosa,"22,691 (15,525 - 32,103)"
Americas,BSI,Salmonella Typhi,"3,942 (2,894 - 5,851)"
Americas,BSI,Staphylococcus aureus,"45,811 (30,847 - 68,764)"
Americas,BSI,Streptococcus pneumoniae,"57,822 (35,622 - 94,333)"
Americas,Bacterial skin infections,Acinetobacter baumannii,"1,844 (345 - 13,217)"
Americas,Bacterial skin infections,Escherichia coli,"2,986 (1,705 - 5,484)"
Americas,Bacterial skin infections,Group A Streptococcus,"903 (724 - 1,099)"
Americas,Bacterial skin infections,Klebsiella pneumoniae,"510 ( 88 - 2,220)"
Americas,Bacterial skin infections,Staphylococcus aureus,"5,024 (3,267 - 7,887)"
Americas,Bone and joint infections,Escherichia coli,"487 (235 - 1,084)"
Americas,Bone and joint infections,Staphylococcus aureus,"841 (498 - 1,382)"
Americas,CNS infections,Escherichia coli,"9,061 (6,318 - 13,086)"
Americas,CNS infections,Haemophilus influenzae,"5,612 (5,199 - 6,025)"
Americas,CNS infections,Klebsiella pneumoniae,"9,912 (6,702 - 14,021)"
Americas,CNS infections,Staphylococcus aureus,"2,891 (2,108 - 3,751)"
Americas,CNS infections,Streptococcus pneumoniae,"18,280 (12,347 - 25,894)"
Americas,Cardiac infections,Acinetobacter baumannii,"2,375 (1,656 - 3,222)"
Americas,Cardiac infections,Enterococcus faecium,"962 (709 - 1,261)"
Americas,Cardiac infections,Escherichia coli,"1,926 (1,258 - 2,856)"
Americas,Cardiac infections,Klebsiella pneumoniae,"2,374 (1,825 - 3,116)"
Americas,Cardiac infections,Staphylococcus aureus,"2,442 (1,775 - 3,854)"
Americas,Cardiac infections,Streptococcus pneumoniae,"1,716 (1,372 - 2,103)"
Americas,Diarrhoea,Escherichia coli,"1,710 (1,076 - 2,626)"
Americas,Diarrhoea,Non-typhoidal Salmonella,"1,179 (575 - 2,438)"
Americas,Diarrhoea,Shigella spp.,"1,969 (1,163 - 3,812)"
Americas,Gonorrhoea and chlamydia,Neisseria gonorrhoeae,457 (332 - 609)
Americas,Intra-abdominal infections,Enterococcus faecium,"30,133 (21,164 - 44,890)"
Americas,Intra-abdominal infections,Escherichia coli,"50,388 (35,439 - 69,906)"
Americas,Intra-abdominal infections,Klebsiella pneumoniae,"23,886 (16,624 - 35,103)"
Americas,Intra-abdominal infections,Staphylococcus aureus,"21,324 (15,471 - 29,349)"
Americas,LRI and thorax infections,Acinetobacter baumannii,"28,025 (18,160 - 45,600)"
Americas,LRI and thorax infections,Escherichia coli,"35,997 (28,374 - 46,257)"
Americas,LRI and thorax infections,Haemophilus influenzae,"24,443 (16,259 - 31,996)"
Americas,LRI and thorax infections,Klebsiella pneumoniae,"67,011 (50,657 - 87,629)"
Americas,LRI and thorax infections,Pseudomonas aeruginosa,"48,134 (37,668 - 61,684)"
Americas,LRI and thorax infections,Staphylococcus aureus,"103,800 (83,521 - 129,336)"
Americas,LRI and thorax infections,Streptococcus pneumoniae,"121,607 (83,297 - 166,050)"
Americas,TB,Mycobacterium tuberculosis,"49,009 (42,434 - 56,813)"
Americas,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,  0 (  0 -   3)
Americas,UTI,Acinetobacter baumannii,"1,934 (1,151 - 3,757)"
Americas,UTI,Enterococcus faecium,"3,370 (1,852 - 6,265)"
Americas,UTI,Escherichia coli,"29,011 (20,783 - 37,917)"
Americas,UTI,Klebsiella pneumoniae,"6,281 (4,416 - 8,771)"
Americas,UTI,Staphylococcus aureus,"2,884 (2,193 - 3,755)"
Eastern Mediterranean,BSI,Acinetobacter baumannii,"45,484 (30,736 - 66,032)"
Eastern Mediterranean,BSI,Enterococcus faecium,"16,725 (11,691 - 24,448)"
Eastern Mediterranean,BSI,Escherichia coli,"33,783 (23,851 - 50,554)"
Eastern Mediterranean,BSI,Group A Streptococcus,"4,874 (2,945 - 7,562)"
Eastern Mediterranean,BSI,Klebsiella pneumoniae,"538,339 (379,717 - 797,634)"
Eastern Mediterranean,BSI,Non-typhoidal Salmonella,"5,105 (2,707 - 10,633)"
Eastern Mediterranean,BSI,Pseudomonas aeruginosa,"29,667 (20,360 - 44,624)"
Eastern Mediterranean,BSI,Salmonella Typhi,"49,915 (34,119 - 73,282)"
Eastern Mediterranean,BSI,Staphylococcus aureus,"28,575 (19,308 - 42,621)"
Eastern Mediterranean,BSI,Streptococcus pneumoniae,"101,702 (64,695 - 159,466)"
Eastern Mediterranean,Bacterial skin infections,Acinetobacter baumannii,"951 (285 - 4,332)"
Eastern Mediterranean,Bacterial skin infections,Escherichia coli,"2,020 (1,194 - 3,726)"
Eastern Mediterranean,Bacterial skin infections,Group A Streptococcus,  0 (  0 -   4)
Eastern Mediterranean,Bacterial skin infections,Klebsiella pneumoniae,"451 (119 - 2,006)"
Eastern Mediterranean,Bacterial skin infections,Staphylococcus aureus,"6,793 (4,116 - 11,084)"
Eastern Mediterranean,Bone and joint infections,Escherichia coli,"456 (221 - 1,070)"
Eastern Mediterranean,Bone and joint infections,Klebsiella pneumoniae,  0 (  0 -   3)
Eastern Mediterranean,Bone and joint infections,Staphylococcus aureus,"1,298 (800 - 2,138)"
Eastern Mediterranean,CNS infections,Escherichia coli,"63,429 (42,854 - 96,213)"
Eastern Mediterranean,CNS infections,Haemophilus influenzae,"63,987 (47,139 - 83,550)"
Eastern Mediterranean,CNS infections,Klebsiella pneumoniae,"72,758 (48,397 - 105,406)"
Eastern Mediterranean,CNS infections,Staphylococcus aureus,"26,226 (18,424 - 37,603)"
Eastern Mediterranean,CNS infections,Streptococcus pneumoniae,"120,077 (81,165 - 174,640)"
Eastern Mediterranean,Cardiac infections,Acinetobacter baumannii,"1,444 (1,061 - 2,353)"
Eastern Mediterranean,Cardiac infections,Enterococcus faecium,  0 (  0 -   3)
Eastern Mediterranean,Cardiac infections,Escherichia coli,473 (345 - 617)
Eastern Mediterranean,Cardiac infections,Klebsiella pneumoniae,"2,408 (1,721 - 3,407)"
Eastern Mediterranean,Cardiac infections,Salmonella Typhi,"1,977 (1,620 - 2,727)"
Eastern Mediterranean,Cardiac infections,Staphylococcus aureus,"1,193 (937 - 1,680)"
Eastern Mediterranean,Cardiac infections,Streptococcus pneumoniae,"1,722 (1,163 - 2,660)"
Eastern Mediterranean,Diarrhoea,Escherichia coli,"39,120 (22,612 - 66,630)"
Eastern Mediterranean,Diarrhoea,Non-typhoidal Salmonella,"4,134 (1,522 - 11,698)"
Eastern Mediterranean,Diarrhoea,Shigella spp.,"44,067 (23,591 - 78,790)"
Eastern Mediterranean,Gonorrhoea and chlamydia,Neisseria gonorrhoeae,"956 (663 - 1,468)"
Eastern Mediterranean,Intra-abdominal infections,Enterococcus faecium,"18,374 (11,948 - 28,597)"
Eastern Mediterranean,Intra-abdominal infections,Escherichia coli,"33,663 (23,644 - 45,279)"
Eastern Mediterranean,Intra-abdominal infections,Klebsiella pneumoniae,"20,652 (13,673 - 30,785)"
Eastern Mediterranean,Intra-abdominal infections,Staphylococcus aureus,"18,898 (13,441 - 27,502)"
Eastern Mediterranean,LRI and thorax infections,Acinetobacter baumannii,"53,443 (35,598 - 79,869)"
Eastern Mediterranean,LRI and thorax infections,Escherichia coli,"138,206 (101,553 - 194,515)"
Eastern Mediterranean,LRI and thorax infections,Haemophilus influenzae,"125,736 (84,905 - 172,440)"
Eastern Mediterranean,LRI and thorax infections,Klebsiella pneumoniae,"290,289 (218,913 - 394,179)"
Eastern Mediterranean,LRI and thorax infections,Pseudomonas aeruginosa,"117,025 (86,216 - 153,279)"
Eastern Mediterranean,LRI and thorax infections,Staphylococcus aureus,"267,211 (201,895 - 364,144)"
Eastern Mediterranean,LRI and thorax infections,Streptococcus pneumoniae,"549,726 (395,196 - 744,864)"
Eastern Mediterranean,TB,Mycobacterium tuberculosis,"501,215 (418,931 - 588,255)"
Eastern Mediterranean,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella,"3,831 (2,059 - 7,731)"
Eastern Mediterranean,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi,"34,402 (17,118 - 77,530)"
Eastern Mediterranean,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,"535,603 (388,899 - 793,242)"
Eastern Mediterranean,UTI,Acinetobacter baumannii,"2,018 (1,251 - 3,803)"
Eastern Mediterranean,UTI,Enterococcus faecium,"2,942 (1,937 - 4,597)"
Eastern Mediterranean,UTI,Escherichia coli,"13,190 (9,706 - 17,173)"
Eastern Mediterranean,UTI,Klebsiella pneumoniae,"3,850 (2,716 - 5,916)"
Eastern Mediterranean,UTI,Staphylococcus aureus,"2,500 (1,801 - 3,693)"
Europe,BSI,Acinetobacter baumannii,"20,957 (11,472 - 39,526)"
Europe,BSI,Enterococcus faecium,"26,169 (17,299 - 41,053)"
Europe,BSI,Escherichia coli,"76,330 (45,450 - 145,092)"
Europe,BSI,Group A Streptococcus,"1,367 (1,006 - 1,860)"
Europe,BSI,Klebsiella pneumoniae,"70,229 (51,315 - 100,523)"
Europe,BSI,Pseudomonas aeruginosa,"11,387 (7,470 - 17,787)"
Europe,BSI,Salmonella Typhi,218 (162 - 284)
Europe,BSI,Staphylococcus aureus,"26,141 (16,400 - 45,080)"
Europe,BSI,Streptococcus pneumoniae,"18,833 (12,177 - 26,696)"
Europe,Bacterial skin infections,Acinetobacter baumannii,"1,426 (295 - 8,424)"
Europe,Bacterial skin infections,Escherichia coli,"1,972 (568 - 5,877)"
Europe,Bacterial skin infections,Klebsiella pneumoniae,"469 ( 64 - 2,395)"
Europe,Bacterial skin infections,Staphylococcus aureus,"1,220 (778 - 2,163)"
Europe,Bone and joint infections,Escherichia coli,"507 (223 - 1,050)"
Europe,Bone and joint infections,Staphylococcus aureus,428 (205 - 880)
Europe,CNS infections,Escherichia coli,"2,876 (2,121 - 3,774)"
Europe,CNS infections,Klebsiella pneumoniae,"3,365 (2,524 - 4,538)"
Europe,CNS infections,Staphylococcus aureus,756 (603 - 916)
Europe,CNS infections,Streptococcus pneumoniae,"4,030 (2,550 - 6,008)"
Europe,Cardiac infections,Acinetobacter baumannii,"1,021 (466 - 2,075)"
Europe,Cardiac infections,Enterococcus faecium,"1,959 (1,149 - 3,230)"
Europe,Cardiac infections,Escherichia coli,"7,797 (4,685 - 12,480)"
Europe,Cardiac infections,Klebsiella pneumoniae,"1,928 (1,265 - 2,980)"
Europe,Cardiac infections,Staphylococcus aureus,"2,501 (1,660 - 3,682)"
Europe,Diarrhoea,Escherichia coli,"1,183 (688 - 1,953)"
Europe,Diarrhoea,Non-typhoidal Salmonella,"572 (272 - 1,097)"
Europe,Diarrhoea,Shigella spp.,"741 (285 - 2,137)"
Europe,Gonorrhoea and chlamydia,Neisseria gonorrhoeae,  0 (  0 -   3)
Europe,Intra-abdominal infections,Enterococcus faecium,"28,589 (18,799 - 43,315)"
Europe,Intra-abdominal infections,Escherichia coli,"40,208 (26,018 - 58,744)"
Europe,Intra-abdominal infections,Klebsiella pneumoniae,"20,282 (12,504 - 31,556)"
Europe,Intra-abdominal infections,Staphylococcus aureus,"9,580 (6,724 - 14,718)"
Europe,LRI and thorax infections,Acinetobacter baumannii,"11,650 (7,166 - 20,968)"
Europe,LRI and thorax infections,Escherichia coli,"19,570 (15,597 - 24,574)"
Europe,LRI and thorax infections,Haemophilus influenzae,"11,085 (7,919 - 14,493)"
Europe,LRI and thorax infections,Klebsiella pneumoniae,"39,057 (30,537 - 50,125)"
Europe,LRI and thorax infections,Pseudomonas aeruginosa,"28,727 (22,864 - 36,617)"
Europe,LRI and thorax infections,Staphylococcus aureus,"54,146 (42,403 - 68,483)"
Europe,LRI and thorax infections,Streptococcus pneumoniae,"64,834 (45,221 - 87,023)"
Europe,TB,Mycobacterium tuberculosis,"281,602 (250,471 - 317,395)"
Europe,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,559 (421 - 711)
Europe,UTI,Acinetobacter baumannii,"1,541 (536 - 3,763)"
Europe,UTI,Enterococcus faecium,"3,819 (2,115 - 7,239)"
Europe,UTI,Escherichia coli,"19,561 (13,972 - 26,849)"
Europe,UTI,Klebsiella pneumoniae,"5,811 (3,659 - 9,620)"
Europe,UTI,Staphylococcus aureus,"1,258 (866 - 1,826)"
South-East Asia,BSI,Acinetobacter baumannii,"127,945 (83,065 - 217,335)"
South-East Asia,BSI,Enterococcus faecium,"25,535 (17,014 - 40,166)"
South-East Asia,BSI,Escherichia coli,"52,004 (32,570 - 85,782)"
South-East Asia,BSI,Group A Streptococcus,"4,260 (2,866 - 6,354)"
South-East Asia,BSI,Klebsiella pneumoniae,"612,253 (435,844 - 902,763)"
South-East Asia,BSI,Non-typhoidal Salmonella,"35,819 (20,594 - 59,545)"
South-East Asia,BSI,Pseudomonas aeruginosa,"47,533 (31,189 - 73,450)"
South-East Asia,BSI,Salmonella Typhi,"26,062 (18,196 - 36,546)"
South-East Asia,BSI,Staphylococcus aureus,"37,817 (25,919 - 59,522)"
South-East Asia,BSI,Streptococcus pneumoniae,"49,248 (31,774 - 75,072)"
South-East Asia,Bacterial skin infections,Acinetobacter baumannii,"6,213 (1,878 - 21,203)"
South-East Asia,Bacterial skin infections,Escherichia coli,"8,236 (3,842 - 16,647)"
South-East Asia,Bacterial skin infections,Group A Streptococcus,"1,427 (1,017 - 1,966)"
South-East Asia,Bacterial skin infections,Klebsiella pneumoniae,"3,282 (1,266 - 10,810)"
South-East Asia,Bacterial skin infections,Staphylococcus aureus,"30,244 (20,950 - 42,799)"
South-East Asia,Bone and joint infections,Enterococcus faecium,  0 (  0 -   2)
South-East Asia,Bone and joint infections,Escherichia coli,"1,967 (997 - 3,655)"
South-East Asia,Bone and joint infections,Klebsiella pneumoniae,"488 (145 - 1,468)"
South-East Asia,Bone and joint infections,Staphylococcus aureus,"2,454 (1,049 - 5,737)"
South-East Asia,CNS infections,Escherichia coli,"51,322 (37,293 - 72,131)"
South-East Asia,CNS infections,Haemophilus influenzae,"27,664 (21,867 - 34,700)"
South-East Asia,CNS infections,Klebsiella pneumoniae,"64,835 (44,745 - 96,399)"
South-East Asia,CNS infections,Staphylococcus aureus,"17,593 (13,197 - 23,747)"
South-East Asia,CNS infections,Streptococcus pneumoniae,"59,228 (39,598 - 82,242)"
South-East Asia,Cardiac infections,Acinetobacter baumannii,"3,387 (2,371 - 4,709)"
South-East Asia,Cardiac infections,Enterococcus faecium,485 (363 - 641)
South-East Asia,Cardiac infections,Escherichia coli,"1,447 (932 - 2,140)"
South-East Asia,Cardiac infections,Klebsiella pneumoniae,"3,312 (2,482 - 4,363)"
South-East Asia,Cardiac infections,Non-typhoidal Salmonella,492 (359 - 645)
South-East Asia,Cardiac infections,Salmonella Typhi, 75 ( 57 -  97)
South-East Asia,Cardiac infections,Staphylococcus aureus,"841 (544 - 1,284)"
South-East Asia,Cardiac infections,Streptococcus pneumoniae,536 (384 - 689)
South-East Asia,Diarrhoea,Escherichia coli,"54,662 (33,546 - 92,077)"
South-East Asia,Diarrhoea,Non-typhoidal Salmonella,"51,930 (21,022 - 119,975)"
South-East Asia,Diarrhoea,Shigella spp.,"81,450 (38,376 - 154,233)"
South-East Asia,Gonorrhoea and chlamydia,Neisseria gonorrhoeae,"3,917 (2,424 - 6,239)"
South-East Asia,Intra-abdominal infections,Enterococcus faecium,"52,650 (31,469 - 83,097)"
South-East Asia,Intra-abdominal infections,Escherichia coli,"91,798 (66,704 - 131,604)"
South-East Asia,Intra-abdominal infections,Klebsiella pneumoniae,"61,873 (40,972 - 92,607)"
South-East Asia,Intra-abdominal infections,Staphylococcus aureus,"40,525 (29,657 - 56,430)"
South-East Asia,LRI and thorax infections,Acinetobacter baumannii,"154,245 (100,780 - 253,263)"
South-East Asia,LRI and thorax infections,Escherichia coli,"172,861 (132,929 - 226,996)"
South-East Asia,LRI and thorax infections,Haemophilus influenzae,"66,236 (48,669 - 94,087)"
South-East Asia,LRI and thorax infections,Klebsiella pneumoniae,"341,379 (259,551 - 453,342)"
South-East Asia,LRI and thorax infections,Pseudomonas aeruginosa,"180,793 (135,770 - 232,700)"
South-East Asia,LRI and thorax infections,Staphylococcus aureus,"308,606 (238,804 - 405,286)"
South-East Asia,LRI and thorax infections,Streptococcus pneumoniae,"584,514 (404,887 - 815,394)"
South-East Asia,TB,Mycobacterium tuberculosis,"2,286,425 (1,949,459 - 2,698,996)"
South-East Asia,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella,"14,866 (9,590 - 24,124)"
South-East Asia,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi,"84,753 (42,101 - 177,475)"
South-East Asia,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,"1,373,298 (940,290 - 2,162,690)"
South-East Asia,UTI,Acinetobacter baumannii,"4,541 (2,523 - 8,877)"
South-East Asia,UTI,Enterococcus faecium,"7,991 (5,070 - 13,534)"
South-East Asia,UTI,Escherichia coli,"44,293 (34,195 - 59,115)"
South-East Asia,UTI,Klebsiella pneumoniae,"12,601 (8,991 - 18,438)"
South-East Asia,UTI,Staphylococcus aureus,"6,622 (4,998 - 9,010)"
Western Pacific,BSI,Acinetobacter baumannii,"181,246 (114,399 - 312,740)"
Western Pacific,BSI,Enterococcus faecium,"38,190 (24,594 - 59,666)"
Western Pacific,BSI,Escherichia coli,"49,913 (29,632 - 83,842)"
Western Pacific,BSI,Group A Streptococcus,"18,086 (11,713 - 26,951)"
Western Pacific,BSI,Klebsiella pneumoniae,"126,607 (94,726 - 164,437)"
Western Pacific,BSI,Non-typhoidal Salmonella,"4,929 (3,057 - 7,956)"
Western Pacific,BSI,Pseudomonas aeruginosa,"22,715 (15,012 - 36,429)"
Western Pacific,BSI,Salmonella Typhi,"2,870 (2,336 - 3,664)"
Western Pacific,BSI,Staphylococcus aureus,"79,240 (50,227 - 132,596)"
Western Pacific,BSI,Streptococcus pneumoniae,"45,159 (29,357 - 71,407)"
Western Pacific,Bacterial skin infections,Acinetobacter baumannii,"2,888 (1,676 - 5,441)"
Western Pacific,Bacterial skin infections,Escherichia coli,"4,882 (2,109 - 12,370)"
Western Pacific,Bacterial skin infections,Group A Streptococcus,"1,973 (1,064 - 3,468)"
Western Pacific,Bacterial skin infections,Klebsiella pneumoniae,"1,453 (392 - 5,380)"
Western Pacific,Bacterial skin infections,Staphylococcus aureus,"5,468 (3,218 - 10,318)"
Western Pacific,Bone and joint infections,Enterococcus faecium,  0 (  0 -   3)
Western Pacific,Bone and joint infections,Escherichia coli,"440 (140 - 1,487)"
Western Pacific,Bone and joint infections,Klebsiella pneumoniae,  0 (  0 -   2)
Western Pacific,Bone and joint infections,Staphylococcus aureus,"1,222 (461 - 3,211)"
Western Pacific,CNS infections,Escherichia coli,"11,927 (8,251 - 16,358)"
Western Pacific,CNS infections,Haemophilus influenzae,"20,900 (17,193 - 26,184)"
Western Pacific,CNS infections,Klebsiella pneumoniae,"11,336 (8,132 - 15,794)"
Western Pacific,CNS infections,Staphylococcus aureus,"3,657 (2,883 - 4,625)"
Western Pacific,CNS infections,Streptococcus pneumoniae,"19,587 (14,437 - 27,233)"
Western Pacific,Cardiac infections,Acinetobacter baumannii,"5,233 (3,136 - 9,064)"
Western Pacific,Cardiac infections,Enterococcus faecium,"963 (600 - 1,557)"
Western Pacific,Cardiac infections,Escherichia coli,"1,445 (874 - 2,358)"
Western Pacific,Cardiac infections,Group A Streptococcus,456 (202 - 996)
Western Pacific,Cardiac infections,Klebsiella pneumoniae,"1,889 (1,343 - 2,825)"
Western Pacific,Cardiac infections,Staphylococcus aureus,"3,352 (2,103 - 5,427)"
Western Pacific,Cardiac infections,Streptococcus pneumoniae,"1,530 (1,201 - 1,875)"
Western Pacific,Diarrhoea,Escherichia coli,"1,377 (798 - 2,367)"
Western Pacific,Diarrhoea,Non-typhoidal Salmonella,"14,800 (7,519 - 32,591)"
Western Pacific,Diarrhoea,Shigella spp.,"4,985 (2,760 - 9,034)"
Western Pacific,Gonorrhoea and chlamydia,Neisseria gonorrhoeae,"1,466 (934 - 2,527)"
Western Pacific,Intra-abdominal infections,Enterococcus faecium,"37,997 (24,455 - 58,388)"
Western Pacific,Intra-abdominal infections,Escherichia coli,"63,766 (43,735 - 98,970)"
Western Pacific,Intra-abdominal infections,Klebsiella pneumoniae,"25,858 (15,305 - 43,281)"
Western Pacific,Intra-abdominal infections,Staphylococcus aureus,"25,853 (17,750 - 37,115)"
Western Pacific,LRI and thorax infections,Acinetobacter baumannii,"32,675 (19,235 - 58,153)"
Western Pacific,LRI and thorax infections,Escherichia coli,"53,541 (42,318 - 66,537)"
Western Pacific,LRI and thorax infections,Haemophilus influenzae,"78,900 (59,600 - 103,152)"
Western Pacific,LRI and thorax infections,Klebsiella pneumoniae,"81,871 (65,063 - 103,683)"
Western Pacific,LRI and thorax infections,Pseudomonas aeruginosa,"43,026 (33,987 - 55,296)"
Western Pacific,LRI and thorax infections,Staphylococcus aureus,"120,432 (95,557 - 149,103)"
Western Pacific,LRI and thorax infections,Streptococcus pneumoniae,"203,998 (141,201 - 277,378)"
Western Pacific,TB,Mycobacterium tuberculosis,"353,367 (309,366 - 401,012)"
Western Pacific,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella,"2,364 (1,581 - 3,640)"
Western Pacific,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi,"2,145 (962 - 4,271)"
Western Pacific,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,"43,402 (28,417 - 67,199)"
Western Pacific,UTI,Acinetobacter baumannii,"3,440 (1,720 - 6,929)"
Western Pacific,UTI,Enterococcus faecium,"5,616 (2,583 - 12,284)"
Western Pacific,UTI,Escherichia coli,"18,375 (11,157 - 29,659)"
Western Pacific,UTI,Klebsiella pneumoniae,"5,763 (2,735 - 13,175)"
Western Pacific,UTI,Staphylococcus aureus,"2,105 (1,209 - 3,513)"
