WHO_region,Disease_presentation,Pathogen,vaccine_averted_burden
Americas,BSI,Pseudomonas aeruginosa,218 (123 - 386)
Americas,BSI,Salmonella Typhi,  9 (  5 -  15)
Americas,BSI,Staphylococcus aureus,480 (254 - 884)
Americas,BSI,Streptococcus pneumoniae,133 ( 85 - 212)
Americas,Bacterial skin infections,Acinetobacter baumannii, 34 (  6 - 184)
Americas,Bacterial skin infections,Escherichia coli, 34 ( 14 -  89)
Americas,Bacterial skin infections,Group A Streptococcus,  0 (  0 -   1)
Americas,Bacterial skin infections,Klebsiella pneumoniae, 11 (  2 -  42)
Americas,Bacterial skin infections,Staphylococcus aureus, 39 ( 22 -  80)
Americas,Bone and joint infections,Enterococcus faecium,  0 (  0 -   2)
Americas,Bone and joint infections,Escherichia coli,  5 (  2 -  12)
Americas,Bone and joint infections,Klebsiella pneumoniae,  1 (  0 -   3)
Americas,Bone and joint infections,Staphylococcus aureus, 10 (  4 -  27)
Americas,CNS infections,Escherichia coli, 28 ( 19 -  41)
Americas,CNS infections,Haemophilus influenzae, 19 ( 12 -  30)
Americas,CNS infections,Klebsiella pneumoniae, 34 ( 22 -  50)
Americas,CNS infections,Staphylococcus aureus, 10 (  7 -  15)
Americas,CNS infections,Streptococcus pneumoniae, 43 ( 27 -  64)
Americas,Cardiac infections,Acinetobacter baumannii, 29 ( 18 -  45)
Americas,Cardiac infections,Enterococcus faecium, 15 ( 10 -  24)
Americas,Cardiac infections,Escherichia coli, 30 ( 20 -  46)
Americas,Cardiac infections,Klebsiella pneumoniae, 22 ( 15 -  31)
Americas,Cardiac infections,Staphylococcus aureus, 35 ( 19 -  58)
Americas,Cardiac infections,Streptococcus pneumoniae,  3 (  1 -   4)
Americas,Diarrhoea,Escherichia coli,  3 (  1 -   6)
Americas,Diarrhoea,Non-typhoidal Salmonella,  0 (  0 -   2)
Americas,Diarrhoea,Shigella spp.,  4 (  2 -   9)
Americas,Intra-abdominal infections,Enterococcus faecium,367 (217 - 564)
Americas,Intra-abdominal infections,Escherichia coli,589 (381 - 930)
Americas,Intra-abdominal infections,Klebsiella pneumoniae,293 (175 - 499)
Americas,Intra-abdominal infections,Staphylococcus aureus,209 (133 - 336)
Americas,LRI and thorax infections,Acinetobacter baumannii,346 (204 - 607)
Americas,LRI and thorax infections,Escherichia coli,248 (182 - 338)
Americas,LRI and thorax infections,Haemophilus influenzae, 58 ( 34 -  95)
Americas,LRI and thorax infections,Klebsiella pneumoniae,401 (295 - 568)
Americas,LRI and thorax infections,Pseudomonas aeruginosa,363 (243 - 551)
Americas,LRI and thorax infections,Staphylococcus aureus,"950 (631 - 1,509)"
Americas,LRI and thorax infections,Streptococcus pneumoniae,273 (181 - 418)
Americas,TB,Mycobacterium tuberculosis,638 (500 - 841)
Americas,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,  0 (  0 -   1)
Americas,UTI,Acinetobacter baumannii, 28 ( 13 -  58)
Americas,UTI,Enterococcus faecium, 49 ( 26 -  92)
Americas,UTI,Escherichia coli,346 (242 - 504)
Americas,UTI,Klebsiella pneumoniae, 78 ( 49 - 126)
Americas,UTI,Staphylococcus aureus, 39 ( 23 -  66)
Eastern Mediterranean,BSI,Acinetobacter baumannii,379 (227 - 607)
Eastern Mediterranean,BSI,Enterococcus faecium,101 ( 63 - 171)
Eastern Mediterranean,BSI,Escherichia coli,284 (175 - 515)
Eastern Mediterranean,BSI,Group A Streptococcus,  5 (  3 -   9)
Eastern Mediterranean,BSI,Klebsiella pneumoniae,"2,038 (1,528 - 2,977)"
Eastern Mediterranean,BSI,Non-typhoidal Salmonella, 12 (  5 -  28)
Eastern Mediterranean,BSI,Pseudomonas aeruginosa,173 (112 - 278)
Eastern Mediterranean,BSI,Salmonella Typhi,121 ( 78 - 186)
Eastern Mediterranean,BSI,Staphylococcus aureus,186 (111 - 320)
Eastern Mediterranean,BSI,Streptococcus pneumoniae,264 (154 - 415)
Eastern Mediterranean,Bacterial skin infections,Acinetobacter baumannii, 13 (  4 -  66)
Eastern Mediterranean,Bacterial skin infections,Escherichia coli, 18 (  7 -  47)
Eastern Mediterranean,Bacterial skin infections,Group A Streptococcus,  0 (  0 -   1)
Eastern Mediterranean,Bacterial skin infections,Klebsiella pneumoniae,  7 (  2 -  31)
Eastern Mediterranean,Bacterial skin infections,Staphylococcus aureus, 36 ( 20 -  74)
Eastern Mediterranean,Bone and joint infections,Enterococcus faecium,  0 (  0 -   1)
Eastern Mediterranean,Bone and joint infections,Escherichia coli,  6 (  3 -  13)
Eastern Mediterranean,Bone and joint infections,Klebsiella pneumoniae,  2 (  1 -   5)
Eastern Mediterranean,Bone and joint infections,Staphylococcus aureus,  9 (  4 -  20)
Eastern Mediterranean,CNS infections,Escherichia coli,210 (135 - 336)
Eastern Mediterranean,CNS infections,Haemophilus influenzae,165 (104 - 254)
Eastern Mediterranean,CNS infections,Klebsiella pneumoniae,254 (164 - 385)
Eastern Mediterranean,CNS infections,Staphylococcus aureus, 77 ( 51 - 116)
Eastern Mediterranean,CNS infections,Streptococcus pneumoniae,311 (205 - 462)
Eastern Mediterranean,Cardiac infections,Acinetobacter baumannii, 13 (  8 -  21)
Eastern Mediterranean,Cardiac infections,Enterococcus faecium,  3 (  2 -   5)
Eastern Mediterranean,Cardiac infections,Escherichia coli,  8 (  5 -  12)
Eastern Mediterranean,Cardiac infections,Klebsiella pneumoniae, 15 ( 10 -  22)
Eastern Mediterranean,Cardiac infections,Salmonella Typhi,  3 (  2 -   5)
Eastern Mediterranean,Cardiac infections,Staphylococcus aureus,  5 (  3 -   9)
Eastern Mediterranean,Cardiac infections,Streptococcus pneumoniae,  5 (  2 -  10)
Eastern Mediterranean,Diarrhoea,Escherichia coli,120 ( 66 - 212)
Eastern Mediterranean,Diarrhoea,Non-typhoidal Salmonella,  9 (  2 -  29)
Eastern Mediterranean,Diarrhoea,Shigella spp.,104 ( 47 - 225)
Eastern Mediterranean,Intra-abdominal infections,Enterococcus faecium,162 ( 92 - 299)
Eastern Mediterranean,Intra-abdominal infections,Escherichia coli,399 (245 - 645)
Eastern Mediterranean,Intra-abdominal infections,Klebsiella pneumoniae,265 (161 - 434)
Eastern Mediterranean,Intra-abdominal infections,Staphylococcus aureus,151 ( 94 - 245)
Eastern Mediterranean,LRI and thorax infections,Acinetobacter baumannii,423 (267 - 708)
Eastern Mediterranean,LRI and thorax infections,Escherichia coli,520 (383 - 666)
Eastern Mediterranean,LRI and thorax infections,Haemophilus influenzae,331 (207 - 482)
Eastern Mediterranean,LRI and thorax infections,Klebsiella pneumoniae,"1,119 (804 - 1,504)"
Eastern Mediterranean,LRI and thorax infections,Pseudomonas aeruginosa,451 (335 - 618)
Eastern Mediterranean,LRI and thorax infections,Staphylococcus aureus,"977 (706 - 1,309)"
Eastern Mediterranean,LRI and thorax infections,Streptococcus pneumoniae,"1,390 (942 - 2,069)"
Eastern Mediterranean,TB,Mycobacterium tuberculosis,"4,953 (3,980 - 6,532)"
Eastern Mediterranean,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella,  9 (  4 -  26)
Eastern Mediterranean,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi, 83 ( 36 - 190)
Eastern Mediterranean,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,"1,371 (852 - 2,263)"
Eastern Mediterranean,UTI,Acinetobacter baumannii, 18 ( 10 -  36)
Eastern Mediterranean,UTI,Enterococcus faecium, 22 ( 10 -  46)
Eastern Mediterranean,UTI,Escherichia coli,108 ( 78 - 162)
Eastern Mediterranean,UTI,Klebsiella pneumoniae, 38 ( 22 -  67)
Eastern Mediterranean,UTI,Staphylococcus aureus, 17 ( 11 -  29)
Europe,BSI,Acinetobacter baumannii,270 (143 - 566)
Europe,BSI,Enterococcus faecium,239 (131 - 483)
Europe,BSI,Escherichia coli,"1,096 (574 - 2,121)"
Europe,BSI,Group A Streptococcus,  1 (  0 -   3)
Europe,BSI,Klebsiella pneumoniae,"582 (368 - 1,033)"
Europe,BSI,Pseudomonas aeruginosa,144 ( 75 - 300)
Europe,BSI,Salmonella Typhi,  2 (  1 -   3)
Europe,BSI,Staphylococcus aureus,315 (174 - 650)
Europe,BSI,Streptococcus pneumoniae, 49 ( 31 -  76)
Europe,Bacterial skin infections,Acinetobacter baumannii, 26 (  4 - 131)
Europe,Bacterial skin infections,Escherichia coli, 32 ( 13 -  91)
Europe,Bacterial skin infections,Klebsiella pneumoniae, 11 (  2 -  45)
Europe,Bacterial skin infections,Staphylococcus aureus, 15 (  6 -  35)
Europe,Bone and joint infections,Enterococcus faecium,  0 (  0 -   1)
Europe,Bone and joint infections,Escherichia coli,  5 (  2 -  13)
Europe,Bone and joint infections,Klebsiella pneumoniae,  1 (  0 -   3)
Europe,Bone and joint infections,Staphylococcus aureus,  6 (  2 -  15)
Europe,CNS infections,Escherichia coli, 11 (  8 -  16)
Europe,CNS infections,Haemophilus influenzae,  3 (  2 -   5)
Europe,CNS infections,Klebsiella pneumoniae, 14 ( 10 -  20)
Europe,CNS infections,Staphylococcus aureus,  3 (  2 -   5)
Europe,CNS infections,Streptococcus pneumoniae, 10 (  6 -  15)
Europe,Cardiac infections,Acinetobacter baumannii, 18 ( 10 -  34)
Europe,Cardiac infections,Enterococcus faecium, 18 (  8 -  35)
Europe,Cardiac infections,Escherichia coli,113 ( 68 - 184)
Europe,Cardiac infections,Klebsiella pneumoniae, 30 ( 17 -  54)
Europe,Cardiac infections,Staphylococcus aureus, 32 ( 18 -  57)
Europe,Cardiac infections,Streptococcus pneumoniae,  0 (  0 -   1)
Europe,Diarrhoea,Escherichia coli,  2 (  1 -   3)
Europe,Diarrhoea,Shigella spp.,  1 (  0 -   3)
Europe,Intra-abdominal infections,Enterococcus faecium,289 (170 - 524)
Europe,Intra-abdominal infections,Escherichia coli,567 (349 - 876)
Europe,Intra-abdominal infections,Klebsiella pneumoniae,286 (158 - 485)
Europe,Intra-abdominal infections,Staphylococcus aureus,119 ( 66 - 208)
Europe,LRI and thorax infections,Acinetobacter baumannii,157 ( 78 - 324)
Europe,LRI and thorax infections,Escherichia coli,148 (111 - 212)
Europe,LRI and thorax infections,Haemophilus influenzae, 30 ( 20 -  45)
Europe,LRI and thorax infections,Klebsiella pneumoniae,264 (191 - 380)
Europe,LRI and thorax infections,Pseudomonas aeruginosa,237 (165 - 390)
Europe,LRI and thorax infections,Staphylococcus aureus,439 (284 - 700)
Europe,LRI and thorax infections,Streptococcus pneumoniae,158 (101 - 239)
Europe,TB,Mycobacterium tuberculosis,"3,257 (2,744 - 3,911)"
Europe,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,  2 (  1 -   4)
Europe,UTI,Acinetobacter baumannii, 28 ( 13 -  59)
Europe,UTI,Enterococcus faecium, 42 ( 20 -  84)
Europe,UTI,Escherichia coli,284 (183 - 422)
Europe,UTI,Klebsiella pneumoniae, 86 ( 52 - 152)
Europe,UTI,Staphylococcus aureus, 18 (  9 -  36)
South-East Asia,BSI,Acinetobacter baumannii,"1,508 (841 - 2,933)"
South-East Asia,BSI,Enterococcus faecium,221 (123 - 426)
South-East Asia,BSI,Escherichia coli,"798 (425 - 1,599)"
South-East Asia,BSI,Group A Streptococcus,  4 (  1 -  11)
South-East Asia,BSI,Klebsiella pneumoniae,"3,325 (2,413 - 4,540)"
South-East Asia,BSI,Non-typhoidal Salmonella, 87 ( 46 - 167)
South-East Asia,BSI,Pseudomonas aeruginosa,"503 (272 - 1,035)"
South-East Asia,BSI,Salmonella Typhi, 60 ( 42 -  92)
South-East Asia,BSI,Staphylococcus aureus,385 (196 - 749)
South-East Asia,BSI,Streptococcus pneumoniae,116 ( 73 - 192)
South-East Asia,Bacterial skin infections,Acinetobacter baumannii, 70 ( 19 - 311)
South-East Asia,Bacterial skin infections,Escherichia coli,107 ( 41 - 260)
South-East Asia,Bacterial skin infections,Group A Streptococcus,  1 (  0 -   3)
South-East Asia,Bacterial skin infections,Klebsiella pneumoniae, 42 ( 12 - 188)
South-East Asia,Bacterial skin infections,Staphylococcus aureus,167 ( 92 - 313)
South-East Asia,Bone and joint infections,Enterococcus faecium,  2 (  1 -   5)
South-East Asia,Bone and joint infections,Escherichia coli, 27 ( 11 -  60)
South-East Asia,Bone and joint infections,Klebsiella pneumoniae, 10 (  4 -  26)
South-East Asia,Bone and joint infections,Staphylococcus aureus, 34 ( 12 -  87)
South-East Asia,CNS infections,Escherichia coli,204 (149 - 292)
South-East Asia,CNS infections,Haemophilus influenzae, 72 ( 45 - 114)
South-East Asia,CNS infections,Klebsiella pneumoniae,295 (208 - 427)
South-East Asia,CNS infections,Staphylococcus aureus, 63 ( 42 -  88)
South-East Asia,CNS infections,Streptococcus pneumoniae,137 ( 91 - 206)
South-East Asia,Cardiac infections,Acinetobacter baumannii, 47 ( 29 -  75)
South-East Asia,Cardiac infections,Enterococcus faecium,  6 (  3 -  11)
South-East Asia,Cardiac infections,Escherichia coli, 25 ( 16 -  39)
South-East Asia,Cardiac infections,Klebsiella pneumoniae, 40 ( 27 -  60)
South-East Asia,Cardiac infections,Non-typhoidal Salmonella,  1 (  0 -   2)
South-East Asia,Cardiac infections,Salmonella Typhi,  1 (  1 -   2)
South-East Asia,Cardiac infections,Staphylococcus aureus, 12 (  7 -  20)
South-East Asia,Cardiac infections,Streptococcus pneumoniae,  1 (  1 -   3)
South-East Asia,Diarrhoea,Escherichia coli,192 (119 - 313)
South-East Asia,Diarrhoea,Non-typhoidal Salmonella,106 ( 40 - 318)
South-East Asia,Diarrhoea,Shigella spp.,181 ( 78 - 365)
South-East Asia,Intra-abdominal infections,Enterococcus faecium,500 (262 - 981)
South-East Asia,Intra-abdominal infections,Escherichia coli,"1,313 (816 - 2,201)"
South-East Asia,Intra-abdominal infections,Klebsiella pneumoniae,"939 (586 - 1,563)"
South-East Asia,Intra-abdominal infections,Staphylococcus aureus,369 (216 - 591)
South-East Asia,LRI and thorax infections,Acinetobacter baumannii,"1,856 (993 - 3,890)"
South-East Asia,LRI and thorax infections,Escherichia coli,"1,063 (780 - 1,428)"
South-East Asia,LRI and thorax infections,Haemophilus influenzae,187 (126 - 295)
South-East Asia,LRI and thorax infections,Klebsiella pneumoniae,"2,144 (1,590 - 2,864)"
South-East Asia,LRI and thorax infections,Pseudomonas aeruginosa,"964 (685 - 1,332)"
South-East Asia,LRI and thorax infections,Staphylococcus aureus,"1,599 (1,128 - 2,371)"
South-East Asia,LRI and thorax infections,Streptococcus pneumoniae,"1,367 (926 - 2,000)"
South-East Asia,TB,Mycobacterium tuberculosis,"28,063 (21,634 - 37,430)"
South-East Asia,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella, 34 ( 19 -  73)
South-East Asia,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi,195 ( 81 - 531)
South-East Asia,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,"3,456 (1,981 - 5,674)"
South-East Asia,UTI,Acinetobacter baumannii, 59 ( 30 - 135)
South-East Asia,UTI,Enterococcus faecium, 78 ( 38 - 159)
South-East Asia,UTI,Escherichia coli,648 (450 - 913)
South-East Asia,UTI,Klebsiella pneumoniae,197 (130 - 307)
South-East Asia,UTI,Staphylococcus aureus, 68 ( 41 - 116)
Western Pacific,BSI,Acinetobacter baumannii,"2,502 (1,348 - 4,858)"
Western Pacific,BSI,Enterococcus faecium,335 (173 - 605)
Western Pacific,BSI,Escherichia coli,"688 (351 - 1,410)"
Western Pacific,BSI,Group A Streptococcus, 19 (  8 -  52)
Western Pacific,BSI,Klebsiella pneumoniae,"841 (535 - 1,559)"
Western Pacific,BSI,Non-typhoidal Salmonella, 12 (  6 -  23)
Western Pacific,BSI,Pseudomonas aeruginosa,285 (148 - 531)
Western Pacific,BSI,Salmonella Typhi,  6 (  4 -  10)
Western Pacific,BSI,Staphylococcus aureus,"892 (445 - 1,745)"
Western Pacific,BSI,Streptococcus pneumoniae,109 ( 65 - 170)
Western Pacific,Bacterial skin infections,Acinetobacter baumannii, 51 (  9 - 212)
Western Pacific,Bacterial skin infections,Escherichia coli, 67 ( 27 - 176)
Western Pacific,Bacterial skin infections,Group A Streptococcus,  1 (  0 -   3)
Western Pacific,Bacterial skin infections,Klebsiella pneumoniae, 18 (  5 -  78)
Western Pacific,Bacterial skin infections,Staphylococcus aureus, 51 ( 24 - 127)
Western Pacific,Bone and joint infections,Enterococcus faecium,  1 (  0 -   2)
Western Pacific,Bone and joint infections,Escherichia coli, 12 (  5 -  29)
Western Pacific,Bone and joint infections,Klebsiella pneumoniae,  2 (  2 -   3)
Western Pacific,Bone and joint infections,Staphylococcus aureus, 19 (  7 -  46)
Western Pacific,CNS infections,Escherichia coli, 44 ( 31 -  59)
Western Pacific,CNS infections,Haemophilus influenzae, 53 ( 34 -  82)
Western Pacific,CNS infections,Klebsiella pneumoniae, 48 ( 32 -  70)
Western Pacific,CNS infections,Staphylococcus aureus, 14 (  9 -  20)
Western Pacific,CNS infections,Streptococcus pneumoniae, 45 ( 29 -  62)
Western Pacific,Cardiac infections,Acinetobacter baumannii, 69 ( 38 - 130)
Western Pacific,Cardiac infections,Enterococcus faecium,  9 (  4 -  20)
Western Pacific,Cardiac infections,Escherichia coli, 28 ( 15 -  53)
Western Pacific,Cardiac infections,Group A Streptococcus,  0 (  0 -   2)
Western Pacific,Cardiac infections,Klebsiella pneumoniae, 18 ( 10 -  35)
Western Pacific,Cardiac infections,Staphylococcus aureus, 39 ( 19 -  74)
Western Pacific,Cardiac infections,Streptococcus pneumoniae,  3 (  2 -   5)
Western Pacific,Diarrhoea,Escherichia coli,  3 (  1 -   5)
Western Pacific,Diarrhoea,Non-typhoidal Salmonella, 11 (  4 -  30)
Western Pacific,Diarrhoea,Shigella spp.,  7 (  3 -  16)
Western Pacific,Intra-abdominal infections,Enterococcus faecium,312 (169 - 606)
Western Pacific,Intra-abdominal infections,Escherichia coli,"843 (498 - 1,427)"
Western Pacific,Intra-abdominal infections,Klebsiella pneumoniae,337 (176 - 647)
Western Pacific,Intra-abdominal infections,Staphylococcus aureus,261 (144 - 452)
Western Pacific,LRI and thorax infections,Acinetobacter baumannii,406 (220 - 857)
Western Pacific,LRI and thorax infections,Escherichia coli,387 (273 - 532)
Western Pacific,LRI and thorax infections,Haemophilus influenzae,181 (107 - 295)
Western Pacific,LRI and thorax infections,Klebsiella pneumoniae,499 (361 - 755)
Western Pacific,LRI and thorax infections,Pseudomonas aeruginosa,365 (234 - 554)
Western Pacific,LRI and thorax infections,Staphylococcus aureus,"1,061 (731 - 1,690)"
Western Pacific,LRI and thorax infections,Streptococcus pneumoniae,472 (316 - 663)
Western Pacific,TB,Mycobacterium tuberculosis,"3,934 (3,019 - 5,091)"
Western Pacific,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella,  5 (  3 -   7)
Western Pacific,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi,  4 (  1 -  12)
Western Pacific,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,104 ( 60 - 182)
Western Pacific,UTI,Acinetobacter baumannii, 47 ( 22 - 111)
Western Pacific,UTI,Enterococcus faecium, 56 ( 23 - 131)
Western Pacific,UTI,Escherichia coli,288 (156 - 482)
Western Pacific,UTI,Klebsiella pneumoniae, 86 ( 40 - 182)
Western Pacific,UTI,Staphylococcus aureus, 32 ( 15 -  63)
