WHO_region,Disease_presentation,Age_group,Pathogen,associated with susceptible (mean),associated with susceptible (lower),associated with susceptible (upper),associated with resistance (mean),associated with resistance (lower),associated with resistance (upper),attributable to resistance (mean),attributable to resistance (lower),attributable to resistance (upper),vaccine avertable-susceptible (mean),vaccine avertable-susceptible (lower),vaccine avertable-susceptible (upper),vaccine avertable-associated with resistance (mean),vaccine avertable-associated with resistance (lower),vaccine avertable-associated with resistance (upper),vaccine avertable-attributable to resistance (mean),vaccine avertable-attributable to resistance (lower),vaccine avertable-attributable to resistance (upper)
Africa,BSI,45 to 49,Acinetobacter baumannii,30.0981261509566,15.1374176239347,49.1809921751592,428.061970221679,229.629548980832,698.741465845687,128.673065151545,66.0779116326432,215.210068972073,14.7480818139687,7.417334635728,24.098686165828,209.750365408623,112.518479000608,342.383318264387,63.049801924257,32.3781766999952,105.452933796316
Africa,BSI,50 to 54,Acinetobacter baumannii,26.0986033753588,13.4074352191357,43.2048573242405,372.333778639938,201.211014447306,602.105667381372,112.014042923984,57.7179740807905,182.632887554305,12.7883156539258,6.56964325737649,21.1703800888778,182.44355153357,98.5933970791799,295.031777016872,54.8868810327522,28.2818072995873,89.4901149016094
Africa,BSI,55 to 59,Acinetobacter baumannii,32.6639641330633,17.0638044769711,54.2392400295473,462.135353523472,255.060480782976,748.325634314142,139.013122182941,73.0181284339275,233.642981096768,16.005342425201,8.36126419371584,26.5772276144782,226.446323226501,124.979635583658,366.67956081393,68.1164298696411,35.7788829326245,114.485060737416
Africa,BSI,60 to 64,Acinetobacter baumannii,39.0840746515799,19.8738717908732,66.5607278092115,562.661428124911,303.443665050526,938.791071175553,169.354696212172,86.4481390515135,293.621224650967,19.1511965792741,9.73819717752787,32.6147566265136,275.704099781206,148.687395874758,460.007624876021,82.9838011439643,42.3595881352416,143.874400078974
Africa,BSI,65 to 69,Acinetobacter baumannii,45.2960869078886,24.3969863383674,74.8099055761994,652.632183848484,367.54986123956,1044.37290355461,196.438138060511,104.074955242559,322.980038801238,22.1950825848654,11.9545233058,36.6568537323377,319.789770085757,180.099432007384,511.742722741759,96.2546876496504,50.9967280688539,158.260219012607
Africa,BSI,70 to 74,Acinetobacter baumannii,61.86410017982,28.7905197177198,113.629668736982,888.093762491902,427.94307821771,1612.14084490712,266.94152252853,122.301001152498,494.423699458663,30.3134090881118,14.1073546616827,55.6785376811212,435.165943621032,209.692108326678,789.949014004489,130.80134603898,59.927490564724,242.267612734745
Africa,BSI,75 to 79,Acinetobacter baumannii,65.7771548210289,30.0296423322561,118.870858005984,924.64901127814,439.179945751998,1659.96172816202,277.824730177902,124.963597544735,512.768822380862,32.2308058623042,14.7145247428055,58.2467204229322,453.078015526289,215.198173418479,813.38124679939,136.134117787172,61.2321627969201,251.256722966622
Africa,BSI,80 to 84,Acinetobacter baumannii,54.5174827236189,25.7882163281211,96.0356835314705,810.600366284395,402.220892450034,1396.63203749853,244.582076550957,115.81983269074,432.24580134052,26.7135665345733,12.6362260007793,47.0574849304205,397.194179479354,197.088237300517,684.34969837428,119.845217509969,56.7517180184626,211.800442656855
Africa,BSI,85 to 89,Acinetobacter baumannii,36.4536472988906,16.9693682563537,65.2801397832355,587.696694656319,288.470090037666,1048.03456102647,178.271579187821,83.7358090830809,324.59722816893,17.8622871764564,8.31499044561331,31.9872684937854,287.971380381596,141.350344118456,513.53693490297,87.3530738020323,41.0305464507096,159.052641802776
Africa,BSI,90 to 94,Acinetobacter baumannii,16.9559265345963,7.12811902642735,32.1626950966415,249.178079373171,112.522756704151,466.446923045279,75.1815504491479,32.2350742759593,142.788135330811,8.30840400195219,3.4927783229494,15.7597205973543,122.097258892854,55.136150785034,228.558992292187,36.8389597200825,15.7951863952201,69.9661863120974
Africa,BSI,95 plus,Acinetobacter baumannii,5.88609622029268,2.43982268229429,11.2794186855716,78.7379829053699,34.7856917524186,150.767646092679,23.6097382178647,9.76909885250412,44.5403535543494,2.88418714794341,1.1955131143242,5.52691515593008,38.5816116236312,17.0449889586851,73.8761465854127,11.5687717267537,4.78685843772702,21.8247732416312
Africa,Bacterial skin infections,EN,Acinetobacter baumannii,1.24078353025902,0.0011463827920817,8.49108063304352,14.7541977199827,0.0139159035507946,97.8524886208378,4.31963851468068,0.00428087985276169,29.6557833599214,0.60798392982692,0.000561727568120033,4.16062951019132,7.22955688279152,0.00681879273988935,47.9477194242105,2.11662287219353,0.00209763112785323,14.5313338463615
Africa,Bacterial skin infections,LN,Acinetobacter baumannii,0.0385517162511702,0.0000547656233658431,0.282088868641581,0.466922739309533,0.000702362138521523,3.25409445449199,0.137858083455809,0.000210307556579453,1.10199470621813,0.0188903409630734,0.0000268351554492616,0.138223545634375,0.228792142261671,0.000344157447875545,1.59450628270108,0.0675504608933464,0.00010305070272393,0.539977406046884
Africa,Bacterial skin infections,PN,Acinetobacter baumannii,2.24401534374842,0.0861733990957645,10.8061625665053,24.8273452464188,0.903828753312555,126.057882637922,7.32307569243511,0.258568327894789,34.8960576264456,1.09956751843673,0.0422249655569246,5.2950196575876,12.1653991707452,0.442876089123152,61.7683624925818,3.5883070892932,0.126698480668447,17.0990682369583
Africa,Bacterial skin infections,1 to 4,Acinetobacter baumannii,1.79706644537312,0.0618180370983325,9.41374987447131,20.4591144837087,0.711287971025606,102.848366390034,6.02707052004371,0.202457796571159,30.418956427241,0.880562558232829,0.0302908381781829,4.61273743849094,10.0249660970173,0.348531105802547,50.3956995311167,2.95326455482142,0.0992043203198679,14.9052886493481
Africa,Bacterial skin infections,5 to 9,Acinetobacter baumannii,0.444078798814988,0.00822888853613535,3.10972999765057,5.17231386388719,0.0959417303247399,36.4589340213281,1.51942400603875,0.0290759240334707,10.6872987872794,0.217598611419344,0.00403215538270632,1.52376769884878,2.53443379330472,0.0470114478591226,17.8648776704508,0.744517762958988,0.0142472027764006,5.2367764057669
Africa,Bacterial skin infections,10 to 14,Acinetobacter baumannii,0.56910078153045,0.0121277260185744,3.8980049780079,6.56127376095015,0.149877450207887,45.8613211677652,1.92712323580871,0.0425373288194224,12.9392062790109,0.27885938294992,0.00594258574910146,1.91002243922387,3.21502414286557,0.0734399506018646,22.4720473722049,0.944290385546268,0.020843291121517,6.34021107671534
Africa,Bacterial skin infections,15 to 19,Acinetobacter baumannii,1.44255320590956,0.0368785954899896,9.0768644812629,16.6691522841584,0.439036930743236,106.384195904335,4.90455157360687,0.125777012012647,31.0814138802152,0.706851070895684,0.0180705117900949,4.44766359581882,8.16788461923762,0.215128096064186,52.1282559931242,2.40323027106737,0.061630735886197,15.2298928013054
Africa,Bacterial skin infections,20 to 24,Acinetobacter baumannii,1.45116102087337,0.0360754749435648,9.15012685097768,17.335124381573,0.445738815750362,107.948548321315,5.10589115647094,0.128951135754226,31.5329769735958,0.711068900227951,0.0176769827223468,4.48356215697906,8.49421094697077,0.218412019717677,52.8947886774444,2.50188666667076,0.0631860565195707,15.4511587170619
Africa,Bacterial skin infections,25 to 29,Acinetobacter baumannii,0.84224144440459,0.0201442118085348,5.32103411112923,10.65756978025,0.273548407881276,65.7129845379564,3.1564199209937,0.0834511783463691,19.0633310298462,0.412698307758249,0.00987066378618205,2.60730671445332,5.2222091923225,0.134038719861825,32.1993624235986,1.54664576128691,0.0408910773897208,9.34103220462464
Africa,Bacterial skin infections,30 to 34,Acinetobacter baumannii,1.01013188693594,0.0288919639899716,6.28676225359068,13.072436354545,0.379788212028414,78.5435758696302,3.88066654240095,0.110474989717024,23.5122671170347,0.494964624598611,0.0141570623550861,3.08051350425943,6.40549381372705,0.186096223893923,38.4863521761188,1.90152660577647,0.0541327449613418,11.521010887347
Africa,Bacterial skin infections,35 to 39,Acinetobacter baumannii,0.900531103956378,0.023037233638673,5.55003323952679,12.0611521489156,0.318814434923997,75.405346633527,3.59169636550265,0.0960448919475147,21.8680725674074,0.441260240938625,0.0112882444829498,2.71951628736813,5.90996455296864,0.156219073112759,36.9486198504282,1.7599312190963,0.0470619970542822,10.7153555580296
Africa,Bacterial skin infections,40 to 44,Acinetobacter baumannii,1.43451172098501,0.0387066982550482,8.66247085428729,18.4640494833803,0.488809161456035,111.992338673823,5.47836443098027,0.151100325329489,32.4019444434472,0.702910743282655,0.0189662821449736,4.24461071860077,9.04738424685635,0.239516489113457,54.8762459501733,2.68439857118033,0.0740391594114496,15.8769527772891
Africa,Bacterial skin infections,45 to 49,Acinetobacter baumannii,2.18613364420179,0.0625881450739422,13.2469100049171,27.6518056459766,0.798033760419371,168.376147864849,8.20089878507305,0.237528834771063,47.2916397491781,1.07120548565888,0.0306681910862317,6.49098590240938,13.5493847665285,0.391036542605492,82.504312453776,4.01844040468579,0.116389129037821,23.1729034770973
Africa,Bacterial skin infections,50 to 54,Acinetobacter baumannii,3.70005609477577,0.0779533748035884,20.2279431682443,47.4237486533383,0.984026255839165,250.745020744966,14.0705231487765,0.283051654948102,74.4823192438109,1.81302748644013,0.0381971536537583,9.9116921524397,23.2376368401358,0.482172865361191,122.865060165033,6.89455634290049,0.13869531092457,36.4963364294673
Africa,Bacterial skin infections,55 to 59,Acinetobacter baumannii,5.51721024127555,0.120954568365107,31.0692187046646,71.5286043519122,1.58828339292424,403.775387272257,21.2248445926667,0.462358509514677,115.250055139294,2.70343301822502,0.0592677384989024,15.2239171652857,35.049016132437,0.778258862532877,197.849939763406,10.4001738504067,0.226555669662192,56.4725270182541
Africa,Bacterial skin infections,60 to 64,Acinetobacter baumannii,7.46926374410695,0.160890627093755,44.1470051473823,98.3151709629581,2.05783258516019,549.900893282068,29.1839738957986,0.614037108328711,156.421434392122,3.6599392346124,0.07883640727594,21.6320325222173,48.1744337718495,1.00833796672849,269.451437708213,14.3001472089413,0.300878183081068,76.6465028521398
Africa,Bacterial skin infections,65 to 69,Acinetobacter baumannii,9.39923950300994,0.209678006364606,55.2233452309797,124.918024755007,2.86553837198529,697.961636884476,37.1235147944094,0.779560358018291,203.931986115901,4.60562735647487,0.102742223118657,27.0594391631801,61.2098321299534,1.40411380227279,342.001202073393,18.1905222492606,0.381984575428963,99.9266731967915
Africa,Bacterial skin infections,70 to 74,Acinetobacter baumannii,10.6904594337357,0.31650007683687,53.2555172567926,143.38396706998,4.17215018604001,733.056240009171,42.7139332631183,1.22553453415322,229.038790840458,5.23832512253049,0.155085037650066,26.0952034558284,70.2581438642902,2.04435359115961,359.197557604494,20.929827298928,0.600511921735078,112.229007511824
Africa,Bacterial skin infections,75 to 79,Acinetobacter baumannii,14.7194894034625,0.441247656167048,73.9740426774615,193.861788077115,5.78037505293868,1001.55946867905,57.6907390195234,1.68176694180865,299.439891810115,7.21254980769662,0.216211351521853,36.2472809119561,94.9922761577863,2.83238377593995,490.764139652734,28.2684621195665,0.824065801486239,146.725546986956
Africa,Bacterial skin infections,80 to 84,Acinetobacter baumannii,12.4535307139095,0.371065845698402,61.500564544188,170.192056869333,5.09900477635294,857.359481071343,50.7944182909723,1.49000044145671,262.100239282704,6.10223004981565,0.181822264392217,30.1352766266521,83.3941078659732,2.49851234041294,420.106145724958,24.8892649625764,0.730100216313788,128.429117248525
Africa,Bacterial skin infections,85 to 89,Acinetobacter baumannii,7.92070829317943,0.231427405267896,38.8323365780574,114.550827125888,3.49948566851972,575.218101488545,34.3449165188534,1.03012986309213,176.605777449663,3.88114706365792,0.113399428581269,19.0278449232481,56.1299052916851,1.71474797757466,281.856869729387,16.8290090942382,0.504763632915144,86.5368309503349
Africa,Bacterial skin infections,90 to 94,Acinetobacter baumannii,3.20249779984838,0.0938549803446851,16.5825972832235,45.1787083634822,1.35663313468758,234.125757806295,13.5350735925352,0.401470627715128,69.1425744496736,1.56922392192571,0.0459889403688957,8.12547266877951,22.1375670981063,0.664750235996914,114.721621325085,6.63218606034225,0.196720607580413,33.8798614803401
Africa,Bacterial skin infections,95 plus,Acinetobacter baumannii,0.89311120921884,0.03328572030485,4.77305270033636,12.0468141178329,0.453055801907241,65.5288057764647,3.60900010308993,0.128846422581171,19.3841867586348,0.437624492517232,0.0163100029493765,2.33879582316482,5.90293891773812,0.221997342934548,32.1091148304677,1.76841005051407,0.0631347470647738,9.49825151173105
Africa,Cardiac infections,EN,Acinetobacter baumannii,0.325650459447058,0.160171437393057,0.612053156404937,3.50404301209334,1.84148383269479,6.36274186615848,1.02979042723827,0.524253814118635,1.88130416459427,0.159568725129058,0.0784840043225979,0.299906046638419,1.71698107592574,0.902327078020447,3.11774351441765,0.504597309346752,0.256884368918131,0.921839040651192
Africa,Cardiac infections,LN,Acinetobacter baumannii,0.230480101679441,0.0961168074568757,0.494736908951611,2.51634782746806,1.08735696285998,5.33053758288403,0.740330550989479,0.29410247689496,1.6874166382667,0.112935249822926,0.0470972356538691,0.242421085386289,1.23301043545935,0.53280491180139,2.61196341561317,0.362761969984845,0.14411021367853,0.826834152750683
Africa,Cardiac infections,PN,Acinetobacter baumannii,1.17948909988364,0.629421698767165,1.97536555402969,12.721149041977,7.23474951197636,20.7964665054055,3.7329331595393,1.97766431112521,6.33529648631438,0.577949658942984,0.308416632395911,0.967929121474548,6.23336303056873,3.54502726086842,10.1902685876487,1.82913724817426,0.969055512451353,3.10429527829405
Africa,Cardiac infections,1 to 4,Acinetobacter baumannii,0.733914509953309,0.295113921144534,1.4092310453829,8.10547700275754,3.56987750933326,14.7123066441542,2.38266302351792,0.981756480498878,4.34565156726142,0.359618109877121,0.144605821360822,0.690523212237621,3.97168373135119,1.7492399795733,7.20903025563556,1.16750488152378,0.48106067544445,2.1293692679581
Africa,Cardiac infections,5 to 9,Acinetobacter baumannii,0.516794784965148,0.251670549928468,1.052442835503,6.44033718911825,3.35151881978382,12.8183015034794,1.91307094511611,0.948659071449116,3.80069971211161,0.253229444632922,0.123318569464949,0.51569698939647,3.15576522266794,1.64224422169407,6.28096773670491,0.937404763106894,0.464842945010067,1.86234285893469
Africa,Cardiac infections,10 to 14,Acinetobacter baumannii,0.725037755718457,0.433178064331722,1.18767326295661,8.71829728204632,5.55197797093175,14.2284681202352,2.5818516750295,1.53518758214105,4.43940405062279,0.355268500302044,0.212257251522544,0.581959898848739,4.2719656682027,2.72046920575656,6.97194937891525,1.26510732076446,0.752241915249114,2.17530798480517
Africa,Cardiac infections,15 to 19,Acinetobacter baumannii,0.692581738932211,0.388129452690901,1.20101136032097,9.08294571229986,5.45429975866926,15.3062092760494,2.70991719899042,1.51165632372806,4.79617821063104,0.339365052076783,0.190183431818541,0.588495566557275,4.45064339902693,2.67260688174794,7.50004254526421,1.32785942750531,0.740711598626749,2.35012732320921
Africa,Cardiac infections,20 to 24,Acinetobacter baumannii,0.798532629543905,0.495341333407466,1.22393832865441,10.7837293250442,7.2590346234459,15.9408584445719,3.2229039241672,2.00904690492055,5.00870267387166,0.391280988476513,0.242717253369658,0.599729781040661,5.28402736927166,3.55692696548849,7.81102063784023,1.57922292284193,0.98443298341107,2.45426431019711
Africa,Cardiac infections,25 to 29,Acinetobacter baumannii,0.825635539752766,0.520514339026087,1.22490341452248,12.2706239501927,8.63283734404991,17.1693123886122,3.69716843089931,2.37477236508371,5.47089137020993,0.404561414478855,0.255052026122783,0.600202673116015,6.01260573559442,4.23009029858446,8.41296307041998,1.81161253114066,1.16363845889102,2.68073677140287
Africa,Cardiac infections,30 to 34,Acinetobacter baumannii,0.731442220989944,0.47053459876628,1.08831967562838,11.5669706720315,8.15389164293368,15.9913413622799,3.50174334433881,2.28533243097441,5.13907385131732,0.358406688285073,0.230561953395477,0.533276641057906,5.66781562929543,3.9954069050375,7.83575726751715,1.71585423872602,1.11981289117746,2.51814618714549
Africa,Cardiac infections,35 to 39,Acinetobacter baumannii,0.874259826560133,0.562182330732932,1.28458224864142,13.3394636881084,9.10268972466058,18.6781908091285,4.02786961141467,2.5625372508399,5.96166696685795,0.428387315014465,0.275469342059137,0.629445301834296,6.53633720717312,4.46031796508368,9.15231349647296,1.97365610959319,1.25564325291155,2.9212168137604
Africa,Cardiac infections,40 to 44,Acinetobacter baumannii,0.884245170813954,0.562384985901948,1.33218313249596,13.6887109733914,9.38716957146958,19.3687804725064,4.1439444967244,2.62314086432952,6.20136705051871,0.433280133698837,0.275568643091954,0.65276973492302,6.70746837696179,4.59971309002009,9.49070243152814,2.03053280339496,1.28533902352146,3.03866985475417
Africa,Cardiac infections,45 to 49,Acinetobacter baumannii,0.846950826378177,0.505194505528131,1.30304791467159,12.6914670474941,8.10846174118473,18.3468134483955,3.83551390742983,2.31356576861076,5.85554696666925,0.415005904925307,0.247545307708784,0.638493478189079,6.21881885327211,3.97314625318052,8.9899385897138,1.87940181464062,1.13364722661927,2.86921801366793
Africa,Cardiac infections,50 to 54,Acinetobacter baumannii,1.01111873464519,0.619848372590674,1.53730400284827,14.1443830824245,9.37723557566929,20.5237645983546,4.25127365320653,2.57783293007009,6.51667682194317,0.495448179976143,0.30372570256943,0.753278961395652,6.93074771038801,4.59484543207795,10.0566446531938,2.0831240900712,1.26313813573434,3.19317164275215
Africa,Cardiac infections,55 to 59,Acinetobacter baumannii,1.15250287871857,0.679065779444378,1.80791469009287,16.4243272256424,10.5355556082615,24.1836039094146,4.94467826756849,2.95067318554963,7.79385664744103,0.564726410572099,0.332742231927745,0.885878198145506,8.04792034056478,5.16242224804813,11.8499659156132,2.42289235110856,1.44582986091932,3.8189897572461
Africa,Cardiac infections,60 to 64,Acinetobacter baumannii,1.10527834021853,0.693402761790541,1.66840417541445,16.3857690053949,10.8474885523378,23.3775146700709,4.94309579261425,3.01217717342927,7.5036932916325,0.54158638670708,0.339767353277365,0.817518045953081,8.0290268126435,5.31526939064552,11.4549821883347,2.42211693838098,1.47596681498034,3.67680971289992
Africa,Cardiac infections,65 to 69,Acinetobacter baumannii,1.36655670373816,0.866734927024402,1.99234755664551,19.7536738509015,13.3868308368806,27.8717188145216,5.94807421254979,3.7581102797656,8.92774653346692,0.669612784831698,0.424700114241957,0.9762503027563,9.67930018694173,6.55954711007149,13.6571422191156,2.9145563641494,1.84147403708514,4.37459580139879
Africa,Cardiac infections,70 to 74,Acinetobacter baumannii,1.66936300360665,1.09592752151836,2.42090666792676,24.7808988032938,16.5897884391007,35.6552250061337,7.47226589822385,4.72030252735181,11.2535763108287,0.817987871767258,0.537004485543996,1.18624426728411,12.142640413614,8.12899633515934,17.4710602530055,3.66141029012969,2.31294823840239,5.51425239230606
Africa,Cardiac infections,75 to 79,Acinetobacter baumannii,1.69789868061745,1.14243519829216,2.43868010820328,25.533825361489,17.571063934509,36.0497083891128,7.71540763337488,5.01605950301755,11.6357453627831,0.83197035350255,0.559793247163158,1.19495325301961,12.5115744271296,8.60982132790941,17.6643571106653,3.78054974035369,2.4578691564786,5.70151522776372
Africa,Cardiac infections,80 to 84,Acinetobacter baumannii,1.29696748788572,0.830512310925308,1.91163362363131,22.4244742284863,15.2603869248351,32.241534070849,6.83763826532193,4.35333231125126,10.3991365100662,0.635514069064003,0.406951032353401,0.936700475579342,10.9879923719583,7.4775895931692,15.798351694716,3.35044275000775,2.13313283251312,5.09557688993244
Africa,Cardiac infections,85 to 89,Acinetobacter baumannii,0.799561326304793,0.51194787097478,1.15063823816971,15.448504853244,10.5942777066819,22.249920729587,4.74469906833126,2.95713053359252,7.32593029688097,0.391785049889349,0.250854456777642,0.563812736703158,7.56976737808956,5.19119607627413,10.9024611574976,2.32490254348232,1.44899396146033,3.58970584547168
Africa,Cardiac infections,90 to 94,Acinetobacter baumannii,0.401904775990182,0.240744523407391,0.63189488612501,7.62168023108983,4.71524372533565,12.1915500216063,2.33979370546003,1.33472661178752,3.88402945056322,0.196933340235189,0.117964816469622,0.309628494201255,3.73462331323402,2.31046942541447,5.97385951058709,1.14649891567541,0.654016039775885,1.90317443077598
Africa,Cardiac infections,95 plus,Acinetobacter baumannii,0.118418313005136,0.0662786197222673,0.212198157714966,2.11335226235756,1.18046396756458,4.00926518492039,0.648012946763497,0.336363535994155,1.28323560474076,0.0580249733725166,0.032476523663911,0.103977097280333,1.0355426085552,0.578427344106644,1.96453994061099,0.317526343914114,0.164818132637136,0.628785446322972
Africa,LRI and thorax infections,EN,Acinetobacter baumannii,181.368704960122,88.7587279739909,375.740017107642,1961.37722264932,952.1981113886,3889.32052653647,577.350591219499,268.110554617963,1235.12003590292,88.8706654304598,43.4917767072555,184.112608382745,961.074839098167,466.577074580414,1905.76705800287,282.901789697555,131.374171762802,605.208817592431
Africa,LRI and thorax infections,LN,Acinetobacter baumannii,33.5752871918089,16.5558771467634,65.1222742860795,374.109027203898,194.314142921836,706.37379305433,110.369751262251,54.7605338981787,217.700435123588,16.4518907239864,8.11237980191407,31.909914400179,183.31342332991,95.2139300316996,346.123158596622,54.081178118503,26.8326616101076,106.673213210558
Africa,LRI and thorax infections,PN,Acinetobacter baumannii,167.509491470197,91.2792645221947,283.096225417161,1799.31023171392,1006.47929231931,2998.16628029484,529.985673326202,290.881258369953,918.022307710095,82.0796508203965,44.7268396158754,138.717150454409,881.662013539821,493.174853236462,1469.10147734447,259.692979929839,142.531816601277,449.830930777947
Africa,LRI and thorax infections,1 to 4,Acinetobacter baumannii,129.075987069966,64.2873821626934,237.54700421759,1403.21614179485,727.957420940237,2487.39234983543,412.254731925743,204.201759579714,754.192119521368,63.2472336642833,31.5008172597198,116.398032066619,687.575909479476,356.699136260716,1218.82225141936,202.004818643614,100.05886219406,369.55413856547
Africa,LRI and thorax infections,5 to 9,Acinetobacter baumannii,45.0919869839149,24.3396599694435,77.4508049433399,524.475278492557,292.573722108449,883.969913584533,154.495665094769,80.6855879819762,260.93026112317,22.0950736221183,11.9264333850273,37.9508944222366,256.992886461353,143.36112383314,433.145257656421,75.7028758964368,39.5359381111683,127.855827950353
Africa,LRI and thorax infections,10 to 14,Acinetobacter baumannii,29.4306139192273,16.612682680364,49.3088820988424,340.047431196339,195.196930479736,557.732819043985,100.113239403519,55.6523748722781,164.812978852993,14.4210008204214,8.14021451337836,24.1613522284328,166.623241286206,95.6464959350706,273.289081331553,49.0554873077243,27.2696636874163,80.7583596379666
Africa,LRI and thorax infections,15 to 19,Acinetobacter baumannii,34.37313679067,18.1134308781606,60.075456250213,397.717341343008,217.908782790046,674.0808521634,117.152861185813,62.021906255744,199.563799955633,16.8428370274283,8.87558113029869,29.4369735626044,194.881497258074,106.775303567123,330.299617560066,57.4049019810484,30.3907340653146,97.7862619782602
Africa,LRI and thorax infections,20 to 24,Acinetobacter baumannii,25.6081568587178,13.6890826010707,44.2654888218156,307.445698565664,174.075491862468,516.246324841864,90.7906612314871,49.4885404453495,156.10636953011,12.5479968607717,6.70765047452464,21.6900895226896,150.648392297175,85.2969910126093,252.960699172513,44.4874240034287,24.2493848182213,76.4921210697539
Africa,LRI and thorax infections,25 to 29,Acinetobacter baumannii,20.5480868563252,12.2806348913563,33.1976879045429,258.801511604045,160.324828479638,409.819639949532,76.7625712824791,45.7045037310269,122.883659923354,10.0685625595993,6.01751109676459,16.266867073226,126.812740685982,78.5591659550226,200.811623575271,37.6136599284148,22.3952068282032,60.2129933624435
Africa,LRI and thorax infections,30 to 34,Acinetobacter baumannii,20.4103921707988,12.1988885366174,33.2472855436834,267.17772714942,169.025452571532,427.059022909793,79.538954834125,47.786933383015,131.310766043882,10.0010921636914,5.97745538294253,16.2911699164049,130.917086303216,82.8224717600507,209.258921225799,38.9740878687212,23.4155973576773,64.3422753615022
