WHO_region,Disease_presentation,Pathogen,vaccine_averted_burden
Eastern Mediterranean,LRI and thorax infections,Pseudomonas aeruginosa,"1,666 (1,266 - 2,171)"
Eastern Mediterranean,LRI and thorax infections,Staphylococcus aureus,"3,862 (3,050 - 5,027)"
Eastern Mediterranean,LRI and thorax infections,Streptococcus pneumoniae,"6,166 (4,198 - 8,941)"
Eastern Mediterranean,TB,Mycobacterium tuberculosis,"10,687 (9,191 - 12,835)"
Eastern Mediterranean,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella, 44 ( 23 -  93)
Eastern Mediterranean,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi,405 (204 - 866)
Eastern Mediterranean,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,"6,737 (4,407 - 10,474)"
Eastern Mediterranean,UTI,Acinetobacter baumannii, 60 ( 31 - 121)
Eastern Mediterranean,UTI,Enterococcus faecium, 86 ( 43 - 166)
Eastern Mediterranean,UTI,Escherichia coli,382 (268 - 549)
Eastern Mediterranean,UTI,Klebsiella pneumoniae,123 ( 74 - 236)
Eastern Mediterranean,UTI,Staphylococcus aureus, 67 ( 47 - 101)
Europe,BSI,Acinetobacter baumannii,"867 (440 - 1,829)"
Europe,BSI,Enterococcus faecium,"1,023 (568 - 1,718)"
Europe,BSI,Escherichia coli,"4,613 (2,514 - 8,737)"
Europe,BSI,Group A Streptococcus, 12 (  8 -  19)
Europe,BSI,Klebsiella pneumoniae,"1,993 (1,278 - 3,523)"
Europe,BSI,Non-typhoidal Salmonella,  1 (  0 -   2)
Europe,BSI,Pseudomonas aeruginosa,"561 (310 - 1,063)"
Europe,BSI,Salmonella Typhi, 11 (  8 -  16)
Europe,BSI,Staphylococcus aureus,"1,384 (806 - 2,602)"
Europe,BSI,Streptococcus pneumoniae,218 (141 - 327)
Europe,Bacterial skin infections,Acinetobacter baumannii, 80 ( 18 - 334)
Europe,Bacterial skin infections,Escherichia coli,146 ( 42 - 374)
Europe,Bacterial skin infections,Klebsiella pneumoniae, 37 (  8 - 153)
Europe,Bacterial skin infections,Staphylococcus aureus, 70 ( 29 - 167)
Europe,Bone and joint infections,Enterococcus faecium,  2 (  1 -   5)
Europe,Bone and joint infections,Escherichia coli, 23 ( 10 -  57)
Europe,Bone and joint infections,Klebsiella pneumoniae,  4 (  1 -  12)
Europe,Bone and joint infections,Staphylococcus aureus, 27 ( 12 -  70)
Europe,CNS infections,Escherichia coli, 48 ( 33 -  68)
Europe,CNS infections,Haemophilus influenzae, 16 ( 11 -  22)
Europe,CNS infections,Klebsiella pneumoniae, 50 ( 37 -  71)
Europe,CNS infections,Staphylococcus aureus, 13 (  9 -  19)
Europe,CNS infections,Streptococcus pneumoniae, 48 ( 32 -  66)
Europe,Cardiac infections,Acinetobacter baumannii, 63 ( 30 - 118)
Europe,Cardiac infections,Enterococcus faecium, 75 ( 43 - 142)
Europe,Cardiac infections,Escherichia coli,513 (305 - 816)
Europe,Cardiac infections,Klebsiella pneumoniae,107 ( 63 - 190)
Europe,Cardiac infections,Staphylococcus aureus,152 ( 91 - 245)
Europe,Cardiac infections,Streptococcus pneumoniae,  4 (  2 -   7)
Europe,Diarrhoea,Escherichia coli,  7 (  4 -  13)
Europe,Diarrhoea,Non-typhoidal Salmonella,  0 (  0 -   1)
Europe,Diarrhoea,Shigella spp.,  7 (  3 -  17)
Europe,Intra-abdominal infections,Enterococcus faecium,"1,189 (768 - 1,782)"
Europe,Intra-abdominal infections,Escherichia coli,"2,365 (1,448 - 3,670)"
Europe,Intra-abdominal infections,Klebsiella pneumoniae,"987 (597 - 1,651)"
Europe,Intra-abdominal infections,Staphylococcus aureus,520 (342 - 840)
Europe,LRI and thorax infections,Acinetobacter baumannii,488 (266 - 960)
Europe,LRI and thorax infections,Escherichia coli,613 (428 - 870)
Europe,LRI and thorax infections,Haemophilus influenzae,127 ( 95 - 168)
Europe,LRI and thorax infections,Klebsiella pneumoniae,"911 (675 - 1,263)"
Europe,LRI and thorax infections,Pseudomonas aeruginosa,"969 (663 - 1,409)"
Europe,LRI and thorax infections,Staphylococcus aureus,"1,915 (1,395 - 2,613)"
Europe,LRI and thorax infections,Streptococcus pneumoniae,"753 (497 - 1,035)"
Europe,TB,Mycobacterium tuberculosis,"6,661 (5,909 - 7,462)"
Europe,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi, 10 (  5 -  19)
Europe,UTI,Acinetobacter baumannii, 91 ( 40 - 185)
Europe,UTI,Enterococcus faecium,170 ( 89 - 351)
Europe,UTI,Escherichia coli,"1,229 (807 - 1,716)"
Europe,UTI,Klebsiella pneumoniae,298 (170 - 513)
Europe,UTI,Staphylococcus aureus, 79 ( 53 - 123)
South-East Asia,BSI,Acinetobacter baumannii,"4,764 (2,751 - 9,166)"
South-East Asia,BSI,Enterococcus faecium,"865 (508 - 1,454)"
South-East Asia,BSI,Escherichia coli,"2,645 (1,418 - 4,695)"
South-East Asia,BSI,Group A Streptococcus, 46 ( 28 -  70)
South-East Asia,BSI,Klebsiella pneumoniae,"9,610 (6,816 - 13,209)"
South-East Asia,BSI,Non-typhoidal Salmonella,424 (255 - 646)
South-East Asia,BSI,Pseudomonas aeruginosa,"1,979 (1,067 - 3,430)"
South-East Asia,BSI,Salmonella Typhi,305 (215 - 441)
South-East Asia,BSI,Staphylococcus aureus,"1,565 (912 - 3,213)"
South-East Asia,BSI,Streptococcus pneumoniae,555 (349 - 837)
South-East Asia,Bacterial skin infections,Acinetobacter baumannii,"253 ( 60 - 1,214)"
South-East Asia,Bacterial skin infections,Escherichia coli,338 (144 - 889)
South-East Asia,Bacterial skin infections,Group A Streptococcus, 13 (  9 -  20)
South-East Asia,Bacterial skin infections,Klebsiella pneumoniae,127 ( 39 - 482)
South-East Asia,Bacterial skin infections,Staphylococcus aureus,"696 (411 - 1,311)"
South-East Asia,Bone and joint infections,Enterococcus faecium,  9 (  6 -  15)
South-East Asia,Bone and joint infections,Escherichia coli, 87 ( 33 - 196)
South-East Asia,Bone and joint infections,Klebsiella pneumoniae, 31 ( 12 -  75)
South-East Asia,Bone and joint infections,Staphylococcus aureus,139 ( 60 - 340)
South-East Asia,CNS infections,Escherichia coli,685 (510 - 919)
South-East Asia,CNS infections,Haemophilus influenzae,304 (224 - 389)
South-East Asia,CNS infections,Klebsiella pneumoniae,"825 (594 - 1,126)"
South-East Asia,CNS infections,Staphylococcus aureus,249 (182 - 338)
South-East Asia,CNS infections,Streptococcus pneumoniae,674 (492 - 919)
South-East Asia,Cardiac infections,Acinetobacter baumannii,146 ( 96 - 220)
South-East Asia,Cardiac infections,Enterococcus faecium, 27 ( 17 -  42)
South-East Asia,Cardiac infections,Escherichia coli, 85 ( 56 - 128)
South-East Asia,Cardiac infections,Group A Streptococcus,  0 (  0 -   1)
South-East Asia,Cardiac infections,Klebsiella pneumoniae,113 ( 74 - 174)
South-East Asia,Cardiac infections,Non-typhoidal Salmonella,  6 (  3 -  12)
South-East Asia,Cardiac infections,Salmonella Typhi,  8 (  6 -  13)
South-East Asia,Cardiac infections,Staphylococcus aureus, 51 ( 34 -  78)
South-East Asia,Cardiac infections,Streptococcus pneumoniae,  9 (  5 -  14)
South-East Asia,Diarrhoea,Escherichia coli,608 (340 - 992)
South-East Asia,Diarrhoea,Non-typhoidal Salmonella,"505 (224 - 1,344)"
South-East Asia,Diarrhoea,Shigella spp.,"911 (473 - 1,729)"
South-East Asia,Intra-abdominal infections,Enterococcus faecium,"1,894 (1,190 - 3,127)"
South-East Asia,Intra-abdominal infections,Escherichia coli,"4,399 (2,876 - 6,369)"
South-East Asia,Intra-abdominal infections,Klebsiella pneumoniae,"2,713 (1,648 - 4,703)"
South-East Asia,Intra-abdominal infections,Staphylococcus aureus,"1,512 (1,007 - 2,296)"
South-East Asia,LRI and thorax infections,Acinetobacter baumannii,"5,814 (3,308 - 10,229)"
South-East Asia,LRI and thorax infections,Escherichia coli,"3,365 (2,521 - 4,452)"
South-East Asia,LRI and thorax infections,Haemophilus influenzae,"767 (553 - 1,034)"
South-East Asia,LRI and thorax infections,Klebsiella pneumoniae,"6,023 (4,524 - 8,133)"
South-East Asia,LRI and thorax infections,Pseudomonas aeruginosa,"3,718 (2,819 - 5,142)"
South-East Asia,LRI and thorax infections,Staphylococcus aureus,"6,692 (5,108 - 8,934)"
South-East Asia,LRI and thorax infections,Streptococcus pneumoniae,"6,768 (4,585 - 9,679)"
South-East Asia,TB,Mycobacterium tuberculosis,"64,727 (54,327 - 76,642)"
South-East Asia,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella,167 (105 - 303)
South-East Asia,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi,"978 (448 - 2,155)"
South-East Asia,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,"17,128 (10,554 - 26,268)"
South-East Asia,UTI,Acinetobacter baumannii,174 ( 95 - 334)
South-East Asia,UTI,Enterococcus faecium,313 (171 - 562)
South-East Asia,UTI,Escherichia coli,"2,076 (1,428 - 2,976)"
South-East Asia,UTI,Klebsiella pneumoniae,569 (364 - 838)
South-East Asia,UTI,Staphylococcus aureus,282 (194 - 433)
Western Pacific,BSI,Acinetobacter baumannii,"7,901 (4,462 - 14,451)"
Western Pacific,BSI,Enterococcus faecium,"1,431 (847 - 2,502)"
Western Pacific,BSI,Escherichia coli,"2,737 (1,479 - 4,971)"
Western Pacific,BSI,Group A Streptococcus,201 (135 - 320)
Western Pacific,BSI,Klebsiella pneumoniae,"3,051 (2,066 - 5,019)"
Western Pacific,BSI,Non-typhoidal Salmonella, 59 ( 37 -  92)
Western Pacific,BSI,Pseudomonas aeruginosa,"1,115 (612 - 1,994)"
Western Pacific,BSI,Salmonella Typhi, 32 ( 23 -  46)
Western Pacific,BSI,Staphylococcus aureus,"4,004 (2,322 - 8,039)"
Western Pacific,BSI,Streptococcus pneumoniae,514 (345 - 809)
Western Pacific,Bacterial skin infections,Acinetobacter baumannii,166 ( 35 - 709)
Western Pacific,Bacterial skin infections,Escherichia coli,270 ( 94 - 736)
Western Pacific,Bacterial skin infections,Group A Streptococcus, 14 (  7 -  27)
Western Pacific,Bacterial skin infections,Klebsiella pneumoniae, 68 ( 20 - 297)
Western Pacific,Bacterial skin infections,Staphylococcus aureus,222 (100 - 549)
Western Pacific,Bone and joint infections,Enterococcus faecium,  4 (  1 -  11)
Western Pacific,Bone and joint infections,Escherichia coli, 45 ( 19 - 123)
Western Pacific,Bone and joint infections,Group A Streptococcus,  0 (  0 -   1)
Western Pacific,Bone and joint infections,Klebsiella pneumoniae,  9 (  3 -  24)
Western Pacific,Bone and joint infections,Staphylococcus aureus, 83 ( 34 - 203)
Western Pacific,CNS infections,Escherichia coli,168 (124 - 230)
Western Pacific,CNS infections,Haemophilus influenzae,254 (197 - 326)
Western Pacific,CNS infections,Klebsiella pneumoniae,163 (122 - 236)
Western Pacific,CNS infections,Staphylococcus aureus, 57 ( 43 -  76)
Western Pacific,CNS infections,Streptococcus pneumoniae,217 (160 - 294)
Western Pacific,Cardiac infections,Acinetobacter baumannii,220 (127 - 399)
Western Pacific,Cardiac infections,Enterococcus faecium, 43 ( 26 -  75)
Western Pacific,Cardiac infections,Escherichia coli,111 ( 63 - 196)
Western Pacific,Cardiac infections,Group A Streptococcus,  7 (  4 -  13)
Western Pacific,Cardiac infections,Klebsiella pneumoniae, 66 ( 38 - 114)
Western Pacific,Cardiac infections,Non-typhoidal Salmonella,  2 (  1 -   3)
Western Pacific,Cardiac infections,Salmonella Typhi,  1 (  0 -   1)
Western Pacific,Cardiac infections,Staphylococcus aureus,166 ( 97 - 289)
Western Pacific,Cardiac infections,Streptococcus pneumoniae, 17 ( 10 -  28)
Western Pacific,Diarrhoea,Escherichia coli, 12 (  7 -  21)
Western Pacific,Diarrhoea,Non-typhoidal Salmonella, 53 ( 23 - 112)
Western Pacific,Diarrhoea,Shigella spp., 35 ( 20 -  63)
Western Pacific,Intra-abdominal infections,Enterococcus faecium,"1,482 (907 - 2,383)"
Western Pacific,Intra-abdominal infections,Escherichia coli,"3,302 (1,995 - 5,268)"
Western Pacific,Intra-abdominal infections,Klebsiella pneumoniae,"1,190 (687 - 2,065)"
Western Pacific,Intra-abdominal infections,Staphylococcus aureus,"1,098 (677 - 1,749)"
Western Pacific,LRI and thorax infections,Acinetobacter baumannii,"1,352 (734 - 2,548)"
Western Pacific,LRI and thorax infections,Escherichia coli,"1,493 (1,108 - 2,016)"
Western Pacific,LRI and thorax infections,Haemophilus influenzae,"893 (633 - 1,161)"
Western Pacific,LRI and thorax infections,Klebsiella pneumoniae,"1,723 (1,273 - 2,446)"
Western Pacific,LRI and thorax infections,Pseudomonas aeruginosa,"1,412 (971 - 2,048)"
Western Pacific,LRI and thorax infections,Staphylococcus aureus,"4,386 (3,273 - 6,213)"
Western Pacific,LRI and thorax infections,Streptococcus pneumoniae,"2,311 (1,666 - 3,042)"
Western Pacific,TB,Mycobacterium tuberculosis,"10,375 (8,947 - 11,822)"
Western Pacific,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella, 24 ( 14 -  39)
Western Pacific,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi, 23 ( 10 -  57)
Western Pacific,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,522 (328 - 844)
Western Pacific,UTI,Acinetobacter baumannii,161 ( 73 - 344)
Western Pacific,UTI,Enterococcus faecium,257 (125 - 521)
Western Pacific,UTI,Escherichia coli,"1,075 (647 - 1,858)"
Western Pacific,UTI,Klebsiella pneumoniae,314 (151 - 640)
Western Pacific,UTI,Staphylococcus aureus,138 ( 69 - 258)
