WHO_region,Disease_presentation,Age_group,Pathogen,burden_mean_value,burden_lower_value,burden_upper_value,hib_vaccine_coverage_2019,hib_vaccine_coverage_2018,pcv_vaccine_coverage_2019,pcv_vaccine_coverage_2018,Efficacy,Coverage,Duration,DP,VC,VO,MainAnalysis
Africa,BSI,LN,Acinetobacter baumannii,152000,103000,214000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,LN,Enterococcus faecium,77000,54000,106000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,LN,Escherichia coli,176000,130000,232000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,LN,Group A Streptococcus,25000,17000,36000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,LN,Klebsiella pneumoniae,650000,482000,859000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,LN,Non-typhoidal Salmonella,7000,3000,13000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,LN,Pseudomonas aeruginosa,188000,133000,255000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,LN,Salmonella Typhi,394000,248000,589000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,LN,Staphylococcus aureus,188000,138000,249000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,LN,Streptococcus pneumoniae,150000,110000,204000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,PN,Acinetobacter baumannii,77000,41000,130000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,PN,Enterococcus faecium,33000,19000,54000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,PN,Escherichia coli,88000,52000,139000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,PN,Group A Streptococcus,35000,20000,56000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,PN,Klebsiella pneumoniae,433000,250000,672000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,PN,Non-typhoidal Salmonella,5000,2000,9000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,PN,Pseudomonas aeruginosa,72000,41000,114000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,PN,Salmonella Typhi,266000,142000,441000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,PN,Staphylococcus aureus,68000,39000,107000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,PN,Streptococcus pneumoniae,401950.590980513,230839.094418528,645703.760611266,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,1 to 4,Acinetobacter baumannii,52000,24000,94000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,1 to 4,Enterococcus faecium,21000,10000,37000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,1 to 4,Escherichia coli,56000,28000,97000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,1 to 4,Group A Streptococcus,21000,10000,36000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,1 to 4,Klebsiella pneumoniae,280000,140000,483000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,1 to 4,Non-typhoidal Salmonella,2000,1000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,1 to 4,Pseudomonas aeruginosa,49000,25000,85000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,1 to 4,Salmonella Typhi,169000,79000,308000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,1 to 4,Staphylococcus aureus,43000,22000,73000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,1 to 4,Streptococcus pneumoniae,272868.940440991,136434.470220496,473203.09924577,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,5 to 9,Acinetobacter baumannii,20000,11000,35000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,5 to 9,Enterococcus faecium,9000,5000,14000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,5 to 9,Escherichia coli,20000,10000,32000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,5 to 9,Group A Streptococcus,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,5 to 9,Klebsiella pneumoniae,40000,21000,66000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,5 to 9,Non-typhoidal Salmonella,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,5 to 9,Pseudomonas aeruginosa,16000,9000,27000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,5 to 9,Salmonella Typhi,43000,22000,72000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,5 to 9,Staphylococcus aureus,14000,8000,24000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,5 to 9,Streptococcus pneumoniae,23000,12000,38000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,10 to 14,Acinetobacter baumannii,14000,8000,23000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,10 to 14,Enterococcus faecium,6000,3000,10000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,10 to 14,Escherichia coli,14000,8000,22000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,10 to 14,Group A Streptococcus,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,10 to 14,Klebsiella pneumoniae,29000,16000,46000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,10 to 14,Non-typhoidal Salmonella,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,10 to 14,Pseudomonas aeruginosa,11000,6000,18000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,10 to 14,Salmonella Typhi,30000,16000,48000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,10 to 14,Staphylococcus aureus,10000,6000,16000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,10 to 14,Streptococcus pneumoniae,17000,9000,26000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,15 to 19,Acinetobacter baumannii,20000,12000,32000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,15 to 19,Enterococcus faecium,9000,5000,14000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,15 to 19,Escherichia coli,20000,12000,31000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,15 to 19,Group A Streptococcus,3000,2000,5000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,15 to 19,Klebsiella pneumoniae,41000,24000,63000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,15 to 19,Non-typhoidal Salmonella,1000,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,15 to 19,Pseudomonas aeruginosa,16000,9000,25000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,15 to 19,Salmonella Typhi,44000,26000,68000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,15 to 19,Staphylococcus aureus,15000,9000,23000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,15 to 19,Streptococcus pneumoniae,24000,14000,37000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,20 to 24,Acinetobacter baumannii,16000,9000,24000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,20 to 24,Enterococcus faecium,7000,4000,11000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,20 to 24,Escherichia coli,16000,10000,24000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,20 to 24,Group A Streptococcus,3000,2000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,20 to 24,Klebsiella pneumoniae,32000,20000,49000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,20 to 24,Non-typhoidal Salmonella,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,20 to 24,Pseudomonas aeruginosa,12000,7000,19000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,20 to 24,Salmonella Typhi,34000,21000,52000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,20 to 24,Staphylococcus aureus,12000,7000,18000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,20 to 24,Streptococcus pneumoniae,19000,11000,28000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,25 to 29,Acinetobacter baumannii,14000,8000,21000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,25 to 29,Enterococcus faecium,6000,3000,9000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,25 to 29,Escherichia coli,13000,8000,21000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,25 to 29,Group A Streptococcus,2000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,25 to 29,Klebsiella pneumoniae,27000,17000,41000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,25 to 29,Non-typhoidal Salmonella,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,25 to 29,Pseudomonas aeruginosa,10000,6000,16000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,25 to 29,Salmonella Typhi,28000,18000,42000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,25 to 29,Staphylococcus aureus,10000,6000,16000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,25 to 29,Streptococcus pneumoniae,15000,10000,24000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,30 to 34,Acinetobacter baumannii,14000,8000,22000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,30 to 34,Enterococcus faecium,6000,3000,9000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,30 to 34,Escherichia coli,13000,8000,21000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,30 to 34,Group A Streptococcus,2000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,30 to 34,Klebsiella pneumoniae,26000,16000,40000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,30 to 34,Non-typhoidal Salmonella,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,30 to 34,Pseudomonas aeruginosa,10000,6000,16000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,30 to 34,Salmonella Typhi,26000,16000,40000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,30 to 34,Staphylococcus aureus,10000,6000,16000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,30 to 34,Streptococcus pneumoniae,15000,9000,24000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,35 to 39,Acinetobacter baumannii,15000,8000,24000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,35 to 39,Enterococcus faecium,6000,4000,10000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,35 to 39,Escherichia coli,14000,8000,23000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,35 to 39,Group A Streptococcus,2000,1000,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,35 to 39,Klebsiella pneumoniae,28000,16000,45000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,35 to 39,Non-typhoidal Salmonella,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,35 to 39,Pseudomonas aeruginosa,11000,6000,17000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,35 to 39,Salmonella Typhi,28000,16000,44000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,35 to 39,Staphylococcus aureus,11000,6000,18000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,35 to 39,Streptococcus pneumoniae,16000,9000,26000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,40 to 44,Acinetobacter baumannii,16000,9000,26000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,40 to 44,Enterococcus faecium,7000,4000,11000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,40 to 44,Escherichia coli,15000,9000,24000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,40 to 44,Group A Streptococcus,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,40 to 44,Klebsiella pneumoniae,30000,17000,48000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,40 to 44,Non-typhoidal Salmonella,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,40 to 44,Pseudomonas aeruginosa,12000,7000,19000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,40 to 44,Salmonella Typhi,31000,18000,48000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,40 to 44,Staphylococcus aureus,12000,7000,19000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,40 to 44,Streptococcus pneumoniae,18000,10000,29000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
Africa,BSI,45 to 49,Acinetobacter baumannii,18000,10000,29000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,45 to 49,Enterococcus faecium,8000,4000,13000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,45 to 49,Escherichia coli,17000,9000,28000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,45 to 49,Group A Streptococcus,2000,1000,4000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,45 to 49,Klebsiella pneumoniae,34000,18000,55000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,45 to 49,Non-typhoidal Salmonella,0,0,1000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,45 to 49,Pseudomonas aeruginosa,14000,7000,22000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,45 to 49,Salmonella Typhi,34000,18000,55000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,45 to 49,Staphylococcus aureus,14000,7000,22000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,45 to 49,Streptococcus pneumoniae,20000,11000,32000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
