WHO_region,Disease_presentation,Age_group,Pathogen,Susceptible_mean,Susceptible_lower,Susceptible_upper,associated with resistance (mean),associated with resistance (lower),associated with resistance (upper),attributable to resistance (mean),attributable to resistance (lower),attributable to resistance (upper),vaccine avertable-associated with resistance (mean),vaccine avertable-associated with resistance (lower),vaccine avertable-associated with resistance (upper),vaccine avertable-attributable to resistance (mean),vaccine avertable-attributable to resistance (lower),vaccine avertable-attributable to resistance (upper)
Africa,Bacterial skin infections,60 to 64,Acinetobacter baumannii,0,0,1000,3000,0,15000,1000,0,4000,1470,0,7350,490,0,1960
Africa,Bacterial skin infections,65 to 69,Acinetobacter baumannii,0,0,1000,3000,0,16000,1000,0,5000,1470,0,7840,490,0,2450
Africa,Bacterial skin infections,70 to 74,Acinetobacter baumannii,0,0,1000,3000,0,14000,1000,0,4000,1470,0,6860,490,0,1960
Africa,Bacterial skin infections,75 to 79,Acinetobacter baumannii,0,0,1000,3000,0,15000,1000,0,5000,1470,0,7350,490,0,2450
Africa,Bacterial skin infections,80 to 84,Acinetobacter baumannii,0,0,1000,2000,0,10000,1000,0,3000,980,0,4900,490,0,1470
Africa,Bacterial skin infections,85 to 89,Acinetobacter baumannii,0,0,0,1000,0,5000,0,0,2000,490,0,2450,0,0,980
Africa,Bacterial skin infections,90 to 94,Acinetobacter baumannii,0,0,0,0,0,2000,0,0,0,0,0,980,0,0,0
Africa,Bacterial skin infections,95 plus,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,BSI,EN,Acinetobacter baumannii,35000,20000,55000,394000,245000,598000,116000,69000,186000,193060,120050,293020,56840,33810,91140
Africa,BSI,LN,Acinetobacter baumannii,13000,8000,19000,152000,103000,214000,45000,29000,67000,74480,50470,104860,22050,14210,32830
Africa,BSI,PN,Acinetobacter baumannii,7000,3000,12000,77000,41000,130000,23000,12000,40000,37730,20090,63700,11270,5880,19600
Africa,BSI,1 to 4,Acinetobacter baumannii,5000,2000,9000,52000,24000,94000,15000,7000,28000,25480,11760,46060,7350,3430,13720
Africa,BSI,5 to 9,Acinetobacter baumannii,2000,1000,3000,20000,11000,35000,6000,3000,10000,9800,5390,17150,2940,1470,4900
Africa,BSI,10 to 14,Acinetobacter baumannii,1000,1000,2000,14000,8000,23000,4000,2000,7000,6860,3920,11270,1960,980,3430
Africa,BSI,15 to 19,Acinetobacter baumannii,2000,1000,3000,20000,12000,32000,6000,3000,9000,9800,5880,15680,2940,1470,4410
Africa,BSI,20 to 24,Acinetobacter baumannii,1000,1000,2000,16000,9000,24000,5000,3000,8000,7840,4410,11760,2450,1470,3920
Africa,BSI,25 to 29,Acinetobacter baumannii,1000,1000,2000,14000,8000,21000,4000,2000,7000,6860,3920,10290,1960,980,3430
Africa,BSI,30 to 34,Acinetobacter baumannii,1000,1000,2000,14000,8000,22000,4000,2000,7000,6860,3920,10780,1960,980,3430
Africa,BSI,35 to 39,Acinetobacter baumannii,1000,1000,2000,15000,8000,24000,4000,2000,7000,7350,3920,11760,1960,980,3430
Africa,BSI,40 to 44,Acinetobacter baumannii,1000,1000,2000,16000,9000,26000,5000,3000,8000,7840,4410,12740,2450,1470,3920
Africa,BSI,45 to 49,Acinetobacter baumannii,1000,1000,2000,18000,10000,29000,5000,3000,9000,8820,4900,14210,2450,1470,4410
Africa,BSI,50 to 54,Acinetobacter baumannii,1000,1000,2000,14000,8000,23000,4000,2000,7000,6860,3920,11270,1960,980,3430
Africa,BSI,55 to 59,Acinetobacter baumannii,1000,1000,2000,15000,8000,24000,5000,2000,8000,7350,3920,11760,2450,980,3920
Africa,BSI,60 to 64,Acinetobacter baumannii,1000,1000,2000,16000,8000,26000,5000,2000,8000,7840,3920,12740,2450,980,3920
Africa,BSI,65 to 69,Acinetobacter baumannii,1000,1000,2000,15000,9000,24000,5000,2000,8000,7350,4410,11760,2450,980,3920
Africa,BSI,70 to 74,Acinetobacter baumannii,1000,1000,2000,17000,8000,31000,5000,2000,9000,8330,3920,15190,2450,980,4410
Africa,BSI,75 to 79,Acinetobacter baumannii,1000,0,2000,14000,7000,25000,4000,2000,8000,6860,3430,12250,1960,980,3920
Africa,BSI,80 to 84,Acinetobacter baumannii,1000,0,1000,9000,5000,16000,3000,1000,5000,4410,2450,7840,1470,490,2450
Africa,BSI,85 to 89,Acinetobacter baumannii,0,0,1000,5000,3000,9000,2000,1000,3000,2450,1470,4410,980,490,1470
Africa,BSI,90 to 94,Acinetobacter baumannii,0,0,0,2000,1000,3000,1000,0,1000,980,490,1470,490,0,490
Africa,BSI,95 plus,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,Cardiac infections,EN,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,Cardiac infections,LN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,PN,Acinetobacter baumannii,0,0,0,1000,1000,2000,0,0,1000,490,490,980,0,0,490
Africa,Cardiac infections,1 to 4,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,5 to 9,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,10 to 14,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,15 to 19,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,20 to 24,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,25 to 29,Acinetobacter baumannii,0,0,0,1000,1000,1000,0,0,0,490,490,490,0,0,0
Africa,Cardiac infections,30 to 34,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,35 to 39,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,40 to 44,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,45 to 49,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,50 to 54,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,55 to 59,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,Cardiac infections,60 to 64,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,Cardiac infections,65 to 69,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,Cardiac infections,70 to 74,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,Cardiac infections,75 to 79,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,Cardiac infections,80 to 84,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,85 to 89,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,90 to 94,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Cardiac infections,95 plus,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,LRI and thorax infections,EN,Acinetobacter baumannii,16000,8000,33000,175000,85000,346000,51000,24000,110000,85750,41650,169540,24990,11760,53900
Africa,LRI and thorax infections,LN,Acinetobacter baumannii,3000,1000,6000,33000,17000,63000,10000,5000,19000,16170,8330,30870,4900,2450,9310
Africa,LRI and thorax infections,PN,Acinetobacter baumannii,15000,8000,25000,159000,89000,265000,47000,26000,81000,77910,43610,129850,23030,12740,39690
Africa,LRI and thorax infections,1 to 4,Acinetobacter baumannii,11000,6000,20000,121000,63000,214000,35000,18000,65000,59290,30870,104860,17150,8820,31850
Africa,LRI and thorax infections,5 to 9,Acinetobacter baumannii,4000,2000,6000,43000,24000,72000,13000,7000,21000,21070,11760,35280,6370,3430,10290
Africa,LRI and thorax infections,10 to 14,Acinetobacter baumannii,2000,1000,4000,26000,15000,43000,8000,4000,13000,12740,7350,21070,3920,1960,6370
Africa,LRI and thorax infections,15 to 19,Acinetobacter baumannii,2000,1000,4000,29000,16000,48000,8000,4000,14000,14210,7840,23520,3920,1960,6860
Africa,LRI and thorax infections,20 to 24,Acinetobacter baumannii,2000,1000,3000,21000,12000,34000,6000,3000,10000,10290,5880,16660,2940,1470,4900
Africa,LRI and thorax infections,25 to 29,Acinetobacter baumannii,1000,1000,2000,16000,10000,25000,5000,3000,8000,7840,4900,12250,2450,1470,3920
Africa,LRI and thorax infections,30 to 34,Acinetobacter baumannii,1000,1000,2000,15000,10000,24000,5000,3000,7000,7350,4900,11760,2450,1470,3430
Africa,LRI and thorax infections,35 to 39,Acinetobacter baumannii,1000,1000,2000,16000,10000,26000,5000,3000,8000,7840,4900,12740,2450,1470,3920
Africa,LRI and thorax infections,40 to 44,Acinetobacter baumannii,2000,1000,3000,20000,12000,32000,6000,4000,10000,9800,5880,15680,2940,1960,4900
Africa,LRI and thorax infections,45 to 49,Acinetobacter baumannii,2000,1000,3000,26000,16000,43000,8000,4000,13000,12740,7840,21070,3920,1960,6370
Africa,LRI and thorax infections,50 to 54,Acinetobacter baumannii,3000,2000,5000,40000,25000,64000,12000,7000,19000,19600,12250,31360,5880,3430,9310
Africa,LRI and thorax infections,55 to 59,Acinetobacter baumannii,4000,2000,7000,51000,28000,82000,15000,8000,25000,24990,13720,40180,7350,3920,12250
Africa,LRI and thorax infections,60 to 64,Acinetobacter baumannii,5000,3000,8000,62000,35000,99000,18000,10000,30000,30380,17150,48510,8820,4900,14700
Africa,LRI and thorax infections,65 to 69,Acinetobacter baumannii,5000,3000,8000,64000,38000,98000,19000,11000,30000,31360,18620,48020,9310,5390,14700
Africa,LRI and thorax infections,70 to 74,Acinetobacter baumannii,5000,3000,9000,64000,34000,107000,19000,10000,32000,31360,16660,52430,9310,4900,15680
Africa,LRI and thorax infections,75 to 79,Acinetobacter baumannii,4000,2000,7000,55000,31000,86000,16000,9000,26000,26950,15190,42140,7840,4410,12740
Africa,LRI and thorax infections,80 to 84,Acinetobacter baumannii,3000,2000,4000,38000,23000,57000,11000,7000,17000,18620,11270,27930,5390,3430,8330
Africa,LRI and thorax infections,85 to 89,Acinetobacter baumannii,1000,1000,2000,20000,11000,31000,6000,3000,9000,9800,5390,15190,2940,1470,4410
Africa,LRI and thorax infections,90 to 94,Acinetobacter baumannii,1000,0,1000,7000,4000,12000,2000,1000,3000,3430,1960,5880,980,490,1470
Africa,LRI and thorax infections,95 plus,Acinetobacter baumannii,0,0,0,2000,1000,3000,0,0,1000,980,490,1470,0,0,490
Africa,UTI,EN,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,UTI,LN,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,UTI,PN,Acinetobacter baumannii,0,0,0,1000,0,2000,0,0,1000,490,0,980,0,0,490
Africa,UTI,1 to 4,Acinetobacter baumannii,0,0,0,1000,0,2000,0,0,1000,490,0,980,0,0,490
Africa,UTI,5 to 9,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,UTI,10 to 14,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,UTI,15 to 19,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,UTI,20 to 24,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,UTI,25 to 29,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,UTI,30 to 34,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,UTI,35 to 39,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,UTI,40 to 44,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,UTI,45 to 49,Acinetobacter baumannii,0,0,0,1000,0,2000,0,0,1000,490,0,980,0,0,490
Africa,UTI,50 to 54,Acinetobacter baumannii,0,0,0,2000,1000,3000,0,0,1000,980,490,1470,0,0,490
Africa,UTI,55 to 59,Acinetobacter baumannii,0,0,0,2000,1000,4000,1000,0,1000,980,490,1960,490,0,490
Africa,UTI,60 to 64,Acinetobacter baumannii,0,0,0,2000,1000,5000,1000,0,1000,980,490,2450,490,0,490
Africa,UTI,65 to 69,Acinetobacter baumannii,0,0,0,2000,1000,5000,1000,0,1000,980,490,2450,490,0,490
Africa,UTI,70 to 74,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,UTI,75 to 79,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Africa,UTI,80 to 84,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,UTI,85 to 89,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Africa,UTI,90 to 94,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,UTI,95 plus,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Bacterial skin infections,EN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Bacterial skin infections,LN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Bacterial skin infections,PN,Acinetobacter baumannii,0,0,0,0,0,2000,0,0,1000,0,0,980,0,0,490
Americas,Bacterial skin infections,1 to 4,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Americas,Bacterial skin infections,5 to 9,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Americas,Bacterial skin infections,10 to 14,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Americas,Bacterial skin infections,15 to 19,Acinetobacter baumannii,0,0,0,0,0,2000,0,0,1000,0,0,980,0,0,490
Americas,Bacterial skin infections,20 to 24,Acinetobacter baumannii,0,0,0,0,0,2000,0,0,1000,0,0,980,0,0,490
Americas,Bacterial skin infections,25 to 29,Acinetobacter baumannii,0,0,0,1000,0,3000,0,0,1000,490,0,1470,0,0,490
Americas,Bacterial skin infections,30 to 34,Acinetobacter baumannii,0,0,0,1000,0,3000,0,0,1000,490,0,1470,0,0,490
Americas,Bacterial skin infections,35 to 39,Acinetobacter baumannii,0,0,0,1000,0,4000,0,0,1000,490,0,1960,0,0,490
Americas,Bacterial skin infections,40 to 44,Acinetobacter baumannii,0,0,0,1000,0,6000,0,0,2000,490,0,2940,0,0,980
Americas,Bacterial skin infections,45 to 49,Acinetobacter baumannii,0,0,1000,1000,0,8000,0,0,2000,490,0,3920,0,0,980
Americas,Bacterial skin infections,50 to 54,Acinetobacter baumannii,0,0,1000,3000,0,13000,1000,0,4000,1470,0,6370,490,0,1960
Americas,Bacterial skin infections,55 to 59,Acinetobacter baumannii,0,0,1000,3000,0,17000,1000,0,5000,1470,0,8330,490,0,2450
Americas,Bacterial skin infections,60 to 64,Acinetobacter baumannii,0,0,1000,4000,0,20000,1000,0,6000,1960,0,9800,490,0,2940
Americas,Bacterial skin infections,65 to 69,Acinetobacter baumannii,0,0,2000,4000,0,20000,1000,0,6000,1960,0,9800,490,0,2940
Americas,Bacterial skin infections,70 to 74,Acinetobacter baumannii,0,0,1000,4000,0,21000,1000,0,7000,1960,0,10290,490,0,3430
Americas,Bacterial skin infections,75 to 79,Acinetobacter baumannii,0,0,1000,4000,0,19000,1000,0,6000,1960,0,9310,490,0,2940
Americas,Bacterial skin infections,80 to 84,Acinetobacter baumannii,0,0,1000,3000,0,16000,1000,0,5000,1470,0,7840,490,0,2450
Americas,Bacterial skin infections,85 to 89,Acinetobacter baumannii,0,0,1000,2000,0,11000,1000,0,4000,980,0,5390,490,0,1960
Americas,Bacterial skin infections,90 to 94,Acinetobacter baumannii,0,0,1000,1000,0,6000,0,0,2000,490,0,2940,0,0,980
Americas,Bacterial skin infections,95 plus,Acinetobacter baumannii,0,0,0,1000,0,3000,0,0,1000,490,0,1470,0,0,490
Americas,BSI,EN,Acinetobacter baumannii,2000,1000,4000,59000,38000,86000,19000,11000,29000,28910,18620,42140,9310,5390,14210
Americas,BSI,LN,Acinetobacter baumannii,2000,1000,2000,39000,25000,54000,12000,8000,18000,19110,12250,26460,5880,3920,8820
Americas,BSI,PN,Acinetobacter baumannii,1000,1000,2000,32000,18000,51000,10000,5000,17000,15680,8820,24990,4900,2450,8330
Americas,BSI,1 to 4,Acinetobacter baumannii,0,0,1000,7000,3000,12000,2000,1000,4000,3430,1470,5880,980,490,1960
Americas,BSI,5 to 9,Acinetobacter baumannii,0,0,1000,6000,3000,11000,2000,1000,4000,2940,1470,5390,980,490,1960
Americas,BSI,10 to 14,Acinetobacter baumannii,0,0,0,6000,3000,10000,2000,1000,3000,2940,1470,4900,980,490,1470
Americas,BSI,15 to 19,Acinetobacter baumannii,0,0,1000,9000,5000,16000,3000,1000,5000,4410,2450,7840,1470,490,2450
Americas,BSI,20 to 24,Acinetobacter baumannii,1000,0,1000,12000,6000,20000,4000,2000,7000,5880,2940,9800,1960,980,3430
Americas,BSI,25 to 29,Acinetobacter baumannii,1000,0,2000,13000,6000,22000,4000,2000,7000,6370,2940,10780,1960,980,3430
Americas,BSI,30 to 34,Acinetobacter baumannii,1000,0,2000,14000,7000,26000,5000,2000,8000,6860,3430,12740,2450,980,3920
Americas,BSI,35 to 39,Acinetobacter baumannii,1000,1000,2000,17000,8000,30000,5000,2000,10000,8330,3920,14700,2450,980,4900
Americas,BSI,40 to 44,Acinetobacter baumannii,2000,1000,3000,21000,10000,34000,6000,3000,11000,10290,4900,16660,2940,1470,5390
Americas,BSI,45 to 49,Acinetobacter baumannii,2000,1000,4000,28000,13000,47000,9000,4000,16000,13720,6370,23030,4410,1960,7840
Americas,BSI,50 to 54,Acinetobacter baumannii,2000,1000,4000,30000,16000,49000,10000,5000,16000,14700,7840,24010,4900,2450,7840
Americas,BSI,55 to 59,Acinetobacter baumannii,3000,2000,6000,39000,22000,64000,12000,6000,21000,19110,10780,31360,5880,2940,10290
Americas,BSI,60 to 64,Acinetobacter baumannii,4000,2000,7000,45000,24000,72000,14000,7000,23000,22050,11760,35280,6860,3430,11270
Americas,BSI,65 to 69,Acinetobacter baumannii,4000,2000,6000,44000,26000,68000,14000,8000,23000,21560,12740,33320,6860,3920,11270
Americas,BSI,70 to 74,Acinetobacter baumannii,5000,3000,10000,58000,29000,102000,18000,9000,32000,28420,14210,49980,8820,4410,15680
Americas,BSI,75 to 79,Acinetobacter baumannii,4000,2000,7000,43000,22000,74000,13000,6000,24000,21070,10780,36260,6370,2940,11760
Americas,BSI,80 to 84,Acinetobacter baumannii,3000,2000,5000,31000,17000,52000,10000,5000,17000,15190,8330,25480,4900,2450,8330
Americas,BSI,85 to 89,Acinetobacter baumannii,2000,1000,3000,21000,10000,35000,6000,3000,11000,10290,4900,17150,2940,1470,5390
Americas,BSI,90 to 94,Acinetobacter baumannii,1000,0,2000,10000,5000,19000,3000,1000,6000,4900,2450,9310,1470,490,2940
Americas,BSI,95 plus,Acinetobacter baumannii,0,0,1000,4000,2000,8000,1000,0,2000,1960,980,3920,490,0,980
Americas,Cardiac infections,EN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Cardiac infections,LN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Cardiac infections,PN,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Americas,Cardiac infections,1 to 4,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Cardiac infections,5 to 9,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Americas,Cardiac infections,10 to 14,Acinetobacter baumannii,0,0,0,0,0,1000,0,0,0,0,0,490,0,0,0
Americas,Cardiac infections,15 to 19,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Americas,Cardiac infections,20 to 24,Acinetobacter baumannii,0,0,0,1000,1000,2000,0,0,1000,490,490,980,0,0,490
Americas,Cardiac infections,25 to 29,Acinetobacter baumannii,0,0,0,1000,1000,2000,0,0,1000,490,490,980,0,0,490
Americas,Cardiac infections,30 to 34,Acinetobacter baumannii,0,0,0,1000,1000,2000,0,0,1000,490,490,980,0,0,490
Americas,Cardiac infections,35 to 39,Acinetobacter baumannii,0,0,0,2000,1000,2000,1000,0,1000,980,490,980,490,0,490
Americas,Cardiac infections,40 to 44,Acinetobacter baumannii,0,0,0,2000,1000,3000,1000,0,1000,980,490,1470,490,0,490
Americas,Cardiac infections,45 to 49,Acinetobacter baumannii,0,0,0,2000,2000,3000,1000,0,1000,980,980,1470,490,0,490
Americas,Cardiac infections,50 to 54,Acinetobacter baumannii,0,0,0,2000,1000,3000,1000,0,1000,980,490,1470,490,0,490
Americas,Cardiac infections,55 to 59,Acinetobacter baumannii,0,0,0,2000,2000,3000,1000,0,1000,980,980,1470,490,0,490
Americas,Cardiac infections,60 to 64,Acinetobacter baumannii,0,0,0,3000,2000,3000,1000,1000,1000,1470,980,1470,490,490,490
Americas,Cardiac infections,65 to 69,Acinetobacter baumannii,0,0,0,3000,2000,3000,1000,1000,1000,1470,980,1470,490,490,490
Americas,Cardiac infections,70 to 74,Acinetobacter baumannii,0,0,1000,4000,2000,5000,1000,1000,2000,1960,980,2450,490,490,980
Americas,Cardiac infections,75 to 79,Acinetobacter baumannii,0,0,1000,3000,2000,4000,1000,1000,1000,1470,980,1960,490,490,490
Americas,Cardiac infections,80 to 84,Acinetobacter baumannii,0,0,0,3000,2000,3000,1000,1000,1000,1470,980,1470,490,490,490
Americas,Cardiac infections,85 to 89,Acinetobacter baumannii,0,0,0,2000,1000,3000,1000,0,1000,980,490,1470,490,0,490
Americas,Cardiac infections,90 to 94,Acinetobacter baumannii,0,0,0,1000,1000,2000,0,0,1000,490,490,980,0,0,490
Americas,Cardiac infections,95 plus,Acinetobacter baumannii,0,0,0,1000,0,1000,0,0,0,490,0,490,0,0,0
Americas,LRI and thorax infections,EN,Acinetobacter baumannii,0,0,1000,6000,3000,12000,2000,1000,4000,2940,1470,5880,980,490,1960
Americas,LRI and thorax infections,LN,Acinetobacter baumannii,0,0,0,2000,1000,4000,1000,0,1000,980,490,1960,490,0,490
Americas,LRI and thorax infections,PN,Acinetobacter baumannii,0,0,1000,13000,6000,24000,4000,2000,8000,6370,2940,11760,1960,980,3920
Americas,LRI and thorax infections,1 to 4,Acinetobacter baumannii,0,0,0,5000,3000,10000,2000,1000,3000,2450,1470,4900,980,490,1470
Americas,LRI and thorax infections,5 to 9,Acinetobacter baumannii,0,0,0,5000,2000,9000,2000,1000,3000,2450,980,4410,980,490,1470
Americas,LRI and thorax infections,10 to 14,Acinetobacter baumannii,0,0,0,4000,2000,7000,1000,1000,2000,1960,980,3430,490,490,980
Americas,LRI and thorax infections,15 to 19,Acinetobacter baumannii,0,0,0,5000,3000,9000,2000,1000,3000,2450,1470,4410,980,490,1470
Americas,LRI and thorax infections,20 to 24,Acinetobacter baumannii,0,0,0,6000,3000,11000,2000,1000,4000,2940,1470,5390,980,490,1960
Americas,LRI and thorax infections,25 to 29,Acinetobacter baumannii,0,0,0,6000,3000,11000,2000,1000,4000,2940,1470,5390,980,490,1960
Americas,LRI and thorax infections,30 to 34,Acinetobacter baumannii,0,0,1000,7000,3000,13000,2000,1000,4000,3430,1470,6370,980,490,1960
Americas,LRI and thorax infections,35 to 39,Acinetobacter baumannii,0,0,1000,9000,4000,15000,3000,1000,5000,4410,1960,7350,1470,490,2450
Americas,LRI and thorax infections,40 to 44,Acinetobacter baumannii,1000,0,1000,11000,6000,18000,3000,2000,6000,5390,2940,8820,1470,980,2940
Americas,LRI and thorax infections,45 to 49,Acinetobacter baumannii,1000,0,1000,15000,7000,25000,5000,2000,8000,7350,3430,12250,2450,980,3920
Americas,LRI and thorax infections,50 to 54,Acinetobacter baumannii,1000,1000,2000,25000,13000,40000,8000,4000,13000,12250,6370,19600,3920,1960,6370
Americas,LRI and thorax infections,55 to 59,Acinetobacter baumannii,2000,1000,3000,33000,16000,56000,10000,5000,18000,16170,7840,27440,4900,2450,8820
Americas,LRI and thorax infections,60 to 64,Acinetobacter baumannii,2000,1000,4000,39000,20000,66000,12000,6000,21000,19110,9800,32340,5880,2940,10290
Americas,LRI and thorax infections,65 to 69,Acinetobacter baumannii,2000,1000,4000,41000,22000,66000,13000,7000,21000,20090,10780,32340,6370,3430,10290
Americas,LRI and thorax infections,70 to 74,Acinetobacter baumannii,2000,1000,4000,39000,19000,68000,12000,6000,22000,19110,9310,33320,5880,2940,10780
